 61 5722.298560 5.915E-24 0.000E+00.06310.076  293.16460.85-.010900                                                            333333584842111010     0.0    0.0
 61 5722.336780 3.391E-24 0.000E+00.06310.076  293.12660.85-.010900                                                            333333584842111010     0.0    0.0
 61 5722.366420 7.815E-25 0.000E+00.06570.080   62.87680.85-.010900                                                            333333584842111010     0.0    0.0
 61 5722.412990 1.538E-24 0.000E+00.06000.077  815.00000.85-.010900                                                            333333584842111010     0.0    0.0
 61 5722.434460 2.961E-24 0.000E+00.06000.077  815.00000.85-.010900                                                            333333584842111010     0.0    0.0
 61 5722.491260 1.442E-24 0.000E+00.06000.077  815.00000.85-.010900                                                            333333584842111010     0.0    0.0
 61 5722.529500 6.726E-25 0.000E+00.06130.075  293.16460.85-.010900                                                            333333584842111010     0.0    0.0
 61 5722.568820 6.079E-24 9.553E-03.06130.075  293.12660.85-.010900                   0 0 0 0 1A1    6F1137         7F2  1     333333584842111010    39.0   45.0
 61 5722.647590 1.371E-24 0.000E+00.06000.077  815.00000.85-.010900                                                            333333584842111010     0.0    0.0
 61 5722.666910 5.756E-24 0.000E+00.05340.069  575.27190.85-.010900                                                            333333584842111010     0.0    0.0
 61 5722.690000 1.252E-24 0.000E+00.06000.077  815.00000.85-.010900                                                            333333584842111010     0.0    0.0
 61 5722.732790 6.526E-25 0.000E+00.06570.079  104.77470.85-.010900                                                            333333584842111010     0.0    0.0
 61 5722.737000 2.000E-25 0.000E+00.06000.077  815.00000.85-.010900                                                            333333584842111010     0.0    0.0
 61 5722.749140 3.684E-25 0.000E+00.06530.079  157.12430.85-.010900                                                            333333584842111010     0.0    0.0
 61 5722.876870 1.440E-24 0.000E+00.06000.077  815.00000.85-.010900                                                            333333584842111010     0.0    0.0
 61 5722.904780 1.605E-24 0.000E+00.06000.077  815.00000.85-.010900                                                            333333584842111010     0.0    0.0
 61 5722.945480 7.619E-25 0.000E+00.06130.075  376.73040.85-.010900                                                            333333584842111010     0.0    0.0
 61 5722.991000 9.109E-25 0.000E+00.06000.077  815.00000.85-.010900                                                            333333584842111010     0.0    0.0
 61 5723.039000 8.646E-25 0.000E+00.06000.077  815.00000.85-.010900                                                            333333584842111010     0.0    0.0
 61 5723.101000 5.957E-25 0.000E+00.06000.077  815.00000.85-.010900                                                            333333584842111010     0.0    0.0
 62 5723.135100 1.500E-24 0.000E+00.06030.081  333.33330.65-.011000                                                            333332523937 7 1 7     0.0    0.0
 61 5723.151490 3.747E-24 0.000E+00.06310.076  293.12300.85-.010900                                                            333333584842111010     0.0    0.0
 61 5723.163410 6.862E-24 0.000E+00.06310.076  293.17010.85-.010900                                                            333333584842111010     0.0    0.0
 61 5723.308700 2.849E-23 1.218E-01.05650.071  470.79900.85-.010900                   0 0 0 0 1A1    8E 129         9E   1     333333584842111010    34.0   38.0
 61 5723.363290 2.122E-24 0.000E+00.06000.077  815.00000.85-.010900                                                            333333584842111010     0.0    0.0
 61 5723.423910 9.288E-25 0.000E+00.06000.077  815.00000.85-.010900                                                            333333584842111010     0.0    0.0
 61 5723.484000 7.786E-25 5.212E-03.05000.067  689.87690.85-.010900                   0 0 0 0 1A1   10F1249        11F2  2     333333584842111010    63.0   69.0
 61 5723.549530 2.992E-25 0.000E+00.06000.077  815.00000.85-.010900                                                            333333584842111010     0.0    0.0
