 12 5722.714631 1.650E-29 7.321E+00.05590.195 3461.96610.37-.026872          0 1 1          0 0 0 16  6 10       15  6  9      464433543631572211    99.0   93.0
 11 5722.741010 8.333E-29 1.827E-04.08770.391 2000.86290.67-.001793          0 2 1          0 1 0  5  5  1        5  1  4      444233443230712210    33.0   33.0
 11 5722.778419 8.182E-27 2.649E-02.08790.296 1813.78760.71-.009186          1 0 1          0 1 0  4  2  3        3  2  2      4643234433255722 7     9.0    7.0
 11 5722.794216 1.740E-28 1.474E-02.06090.298 2904.42800.51-.012953          1 2 0          0 1 0 11  3  8       10  2  9      3442334432287122 8    69.0   63.0
 11 5722.899530 1.107E-29 6.126E-01.06380.250 4285.64650.41-.019232          1 2 0          0 1 0 14  6  9       13  5  8      3442334432297122 9    87.0   81.0
 11 5722.956853 3.463E-29 3.340E-02.05160.315 3139.47560.55-.010837          0 2 1          0 1 0  9  7  2        9  5  5      444233443230712210    19.0   19.0
 14 5723.009333 1.007E-29 6.633E-02.02700.281 1971.03020.47-.026340          2 0 0          0 0 0 12  9  4       11  8  3      3641035041297122 9   150.0  138.0
 14 5723.010105 1.007E-29 6.633E-02.03950.281 1971.03000.47-.026280          2 0 0          0 0 0 12  9  3       11  8  4      3641035041297122 9   150.0  138.0
 11 5723.024900 9.932E-28 5.789E-03.09650.434 1813.78760.71-.009187          0 0 2          0 1 0  2  1  1        3  2  2      3742234433257122 7     5.0    7.0
 11 5723.184570 1.158E-23 3.130E-01.08660.431  982.91160.570.001290          0 1 1          0 0 0  9  4  5        8  2  6      575521303367662223    19.0   17.0
 11 5723.220356 2.327E-26 4.586E-02.06250.371 2042.75330.63-.011016          2 0 0          0 1 0  7  0  7        6  1  6      4742234433257122 7    45.0   39.0
 14 5723.242992 2.104E-28 2.200E-02.06480.315 1082.78490.55-.012444          1 2 0          0 0 0 10  5  6        9  5  5      4641035041287122 8   126.0  114.0
 14 5723.259552 2.375E-29 7.222E-05.09100.391  221.94620.67-.003500          1 2 0          0 0 0  5  3  2        5  0  5      5641035041287122 8    66.0   66.0
 14 5723.309905 1.307E-29 7.623E-02.01780.315 1889.50750.55-.016064          1 2 0          0 0 0  9  9  1        9  9  0      3641035041297122 9   114.0  114.0
 14 5723.309930 1.307E-29 7.623E-02.01780.315 1889.50750.55-.016120          1 2 0          0 0 0  9  9  0        9  9  1      3641035041297122 9   114.0  114.0
 14 5723.348631 2.105E-28 2.202E-02.06510.315 1082.88650.55-.010744          1 2 0          0 0 0 10  5  5        9  5  4      3641035041257122 8   126.0  114.0
 11 5723.454219 6.673E-27 2.646E-04.06540.281 1327.10960.47-.015284          1 1 0          0 0 0 11  3  8       11  0 11      4642234433287122 8    69.0   69.0
 11 5723.488856 1.992E-27 2.510E+00.02020.265 3266.76380.44-.015177          0 1 1          0 0 0 13 10  3       12 10  2      374223443331712211    27.0   25.0
 11 5723.489225 5.976E-27 2.510E+00.02050.265 3266.76300.44-.016240          0 1 1          0 0 0 13 10  4       12 10  3      374223443331712211    81.0   75.0
 11 5723.578754 2.615E-29 1.008E-01.06250.371 3601.85840.63-.011016          2 1 0          0 2 0  7  0  7        6  1  6      4442234432257122 7    45.0   39.0
 11 5723.626700 9.000E-29 7.374E+00.01970.183 4201.24850.33-.008372          0 1 1          0 0 0 19  3 16       18  3 15      344233443231712211    39.0   37.0
 11 5723.654110 4.969E-29 1.845E-02.05510.333 2920.13210.57-.010708          0 2 1          0 1 0  8  7  2        8  5  3      444233443230712210    17.0   17.0
 11 5723.746998 1.863E-29 6.563E-04.05500.298 2705.13920.51-.004282          1 2 0          0 1 0 10  4  7       10  1 10      4442334432287122 8    63.0   63.0
 11 5723.779870 3.611E-23 3.036E-02.07220.347  382.51690.69-.007159          0 1 1          0 0 0  5  5  1        4  3  2      575421303367662223    33.0   27.0
 11 5723.781079 5.127E-28 6.551E-06.06880.333 1006.11570.57-.011992          0 4 0          0 0 0  7  0  7        8  3  6      4542234433287122 7    45.0   51.0
 13 5723.816763 2.000E-29 1.409E-01.05010.281 1980.82350.470.000000         -2-2-2          0 0 0 12 -2 -2       11  5  7      0622234636917122 0   150.0  138.0
 14 5723.961183 6.886E-29 1.092E-02.04900.265 1220.02890.44-.011848          0 4 0          0 0 0 13  2 12       12  1 11      2641035141297122 8   162.0  150.0
 11 5724.154338 1.490E-28 1.840E-02.05740.333 2919.63230.57-.009592          0 2 1          0 1 0  8  7  1        8  5  4      444233443230712210    51.0   51.0
 11 5724.194805 1.353E-29 1.527E-04.07950.371 2146.26370.63-.007145          1 0 1          0 1 0  6  3  4        6  1  5      4442334432257122 7    13.0   13.0
 11 5724.364222 7.994E-27 4.706E-02.06420.207 2041.78050.63-.009923          2 0 0          0 1 0  7  1  7        6  0  6      4743234433255722 7    15.0   13.0
 11 5724.408852 5.109E-27 1.187E-02.09370.456 1693.64990.72-.009228          1 0 1          0 1 0  3  1  2        2  1  1      3542234433257122 7     7.0    5.0
 11 5724.458968 8.229E-29 3.090E-05.05180.250 1806.66940.41-.005880          1 1 0          0 0 0 12  5  8       13  0 13      4442334432297122 8    75.0   81.0
 11 5724.585870 1.271E-28 6.878E-03.06050.352 2724.16700.61-.010647          0 2 1          0 1 0  7  7  1        7  5  2      344233443230712210    45.0   45.0
 11 5724.658773 1.365E-26 3.981E-05.08120.364  446.69660.63-.004118          1 1 0          0 0 0  6  5  1        6  0  6      4745234433285722 8    13.0   13.0
 11 5724.711013 4.234E-29 6.870E-03.04680.352 2724.04130.61-.009741          0 2 1          0 1 0  7  7  0        7  5  3      344233443230712210    15.0   15.0
