# DateTime,20170412_082924
# Description,Variation of ringdown statistics with threshold
# InstrumentName,SADS2020_HF_PK
# SchemeFile,C:\Picarro\G2000\AppConfig\Schemes\HCL_peak.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,49546.9023438
# TUNER_SWEEP_RAMP_LOW_REGISTER,15989.0976562
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,47446.9023438
# TUNER_WINDOW_RAMP_LOW_REGISTER,18089.0976562
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,203.17,30.0242,0.8107,5739.1892,1.53,243.3926,17.07570
,,3000,204.58,0.0926,0.7806,5739.1892,1.17,0.7227,0.05053
,,4000,204.58,0.0554,0.7807,5739.1892,1.20,0.4323,0.03022
,,5000,204.58,0.0413,0.7808,5739.1892,1.21,0.3228,0.02257
,,6000,204.58,0.0330,0.7809,5739.1892,1.21,0.2578,0.01803
,,7000,204.58,0.0299,0.7809,5739.1892,1.20,0.2334,0.01632
,,8000,204.58,0.0287,0.7810,5739.1892,1.26,0.2245,0.01570
,,9000,204.54,0.0258,0.7811,5739.1892,1.21,0.2018,0.01411
,,10000,204.54,0.0228,0.7812,5739.1892,1.22,0.1781,0.01245
,,11000,203.58,0.0200,0.7812,5739.1892,1.34,0.1563,0.01096
,,12000,202.14,0.0175,0.7813,5739.1892,1.28,0.1368,0.00962
,,13000,197.86,0.0158,0.7813,5739.1892,1.34,0.1237,0.00880
,,14000,194.48,0.0156,0.7813,5739.1892,1.44,0.1221,0.00876
,,15000,191.98,0.0163,0.7813,5739.1892,1.49,0.1277,0.00921
,,16000,187.86,0.0161,0.7813,5739.1892,1.47,0.1258,0.00918
