"SamplePeriod","TriggerSample","CompressedData"
"0.00000002","1022","True"
"SampleNumber","DSP_I2C0","DSP_I2C1","Clock2","Clock1","ADCout","Data0","Data1","Data2","Data3","Data4","Data5","Data6","Data7","Data8","Data9","Data10","Data11","Data12","Data13"
"140","","","1","0","1A6Bh","1","1","0","1","0","1","1","0","0","1","0","1","1","0"
"142","","","1","0","1A4Fh","1","1","1","1","0","0","1","0","0","1","0","1","1","0"
"144","","","1","0","1A2Eh","0","1","1","1","0","1","0","0","0","1","0","1","1","0"
"146","","","1","0","1A12h","0","1","0","0","1","0","0","0","0","1","0","1","1","0"
"148","","","1","0","19F9h","1","0","0","1","1","1","1","1","1","0","0","1","1","0"
"150","","","1","0","19D9h","1","0","0","1","1","0","1","1","1","0","0","1","1","0"
"152","","","1","0","19BAh","0","1","0","1","1","1","0","1","1","0","0","1","1","0"
"154","","","1","0","19A0h","0","0","0","0","0","1","0","1","1","0","0","1","1","0"
"156","","","1","0","1982h","0","1","0","0","0","0","0","1","1","0","0","1","1","0"
"158","","","1","0","1962h","0","1","0","0","0","1","1","0","1","0","0","1","1","0"
"160","","","1","0","1946h","0","1","1","0","0","0","1","0","1","0","0","1","1","0"
"162","","","1","0","192Ch","0","0","1","1","0","1","0","0","1","0","0","1","1","0"
"164","","","1","0","190Ah","0","1","0","1","0","0","0","0","1","0","0","1","1","0"
"166","","","1","0","18EFh","1","1","1","1","0","1","1","1","0","0","0","1","1","0"
"168","","","1","0","18CFh","1","1","1","1","0","0","1","1","0","0","0","1","1","0"
"170","","","1","0","18B3h","1","1","0","0","1","1","0","1","0","0","0","1","1","0"
"172","","","1","0","1895h","1","0","1","0","1","0","0","1","0","0","0","1","1","0"
"174","","","1","0","187Bh","1","1","0","1","1","1","1","0","0","0","0","1","1","0"
"176","","","1","0","185Dh","1","0","1","1","1","0","1","0","0","0","0","1","1","0"
"178","","","1","0","183Ah","0","1","0","1","1","1","0","0","0","0","0","1","1","0"
"180","","","1","0","181Eh","0","1","1","1","1","0","0","0","0","0","0","1","1","0"
"182","","","1","0","1802h","0","1","0","0","0","0","0","0","0","0","0","1","1","0"
"184","","","1","0","17E6h","0","1","1","0","0","1","1","1","1","1","1","0","1","0"
"186","","","1","0","17C8h","0","0","0","1","0","0","1","1","1","1","1","0","1","0"
"188","","","1","0","17A8h","0","0","0","1","0","1","0","1","1","1","1","0","1","0"
"190","","","1","0","178Ah","0","1","0","1","0","0","0","1","1","1","1","0","1","0"
"192","","","1","0","1770h","0","0","0","0","1","1","1","0","1","1","1","0","1","0"
"194","","","1","0","1755h","1","0","1","0","1","0","1","0","1","1","1","0","1","0"
"196","","","1","0","1730h","0","0","0","0","1","1","0","0","1","1","1","0","1","0"
"198","","","1","0","1715h","1","0","1","0","1","0","0","0","1","1","1","0","1","0"
"200","","","1","0","16FAh","0","1","0","1","1","1","1","1","0","1","1","0","1","0"
"202","","","1","0","16DBh","1","1","0","1","1","0","1","1","0","1","1","0","1","0"
"204","","","1","0","16BFh","1","1","1","1","1","1","0","1","0","1","1","0","1","0"
"206","","","1","0","16A5h","1","0","1","0","0","1","0","1","0","1","1","0","1","0"
"208","","","1","0","1682h","0","1","0","0","0","0","0","1","0","1","1","0","1","0"
"210","","","1","0","1668h","0","0","0","1","0","1","1","0","0","1","1","0","1","0"
"212","","","1","0","164Bh","1","1","0","1","0","0","1","0","0","1","1","0","1","0"
"214","","","1","0","162Ch","0","0","1","1","0","1","0","0","0","1","1","0","1","0"
"216","","","1","0","1612h","0","1","0","0","1","0","0","0","0","1","1","0","1","0"
"218","","","1","0","15F2h","0","1","0","0","1","1","1","1","1","0","1","0","1","0"
"220","","","1","0","15D9h","1","0","0","1","1","0","1","1","1","0","1","0","1","0"
"222","","","1","0","15B7h","1","1","1","0","1","1","0","1","1","0","1","0","1","0"
"224","","","1","0","159Bh","1","1","0","1","1","0","0","1","1","0","1","0","1","0"
"226","","","1","0","157Fh","1","1","1","1","1","1","1","0","1","0","1","0","1","0"
"228","","","1","0","1564h","0","0","1","0","0","1","1","0","1","0","1","0","1","0"
"230","","","1","0","1543h","1","1","0","0","0","0","1","0","1","0","1","0","1","0"
"232","","","1","0","1524h","0","0","1","0","0","1","0","0","1","0","1","0","1","0"
"234","","","1","0","1503h","1","1","0","0","0","0","0","0","1","0","1","0","1","0"
"236","","","1","0","14EDh","1","0","1","1","0","1","1","1","0","0","1","0","1","0"
"238","","","1","0","14D0h","0","0","0","0","1","0","1","1","0","0","1","0","1","0"
"240","","","1","0","14B0h","0","0","0","0","1","1","0","1","0","0","1","0","1","0"
"242","","","1","0","1494h","0","0","1","0","1","0","0","1","0","0","1","0","1","0"
"244","","","1","0","1473h","1","1","0","0","1","1","1","0","0","0","1","0","1","0"
"246","","","1","0","1454h","0","0","1","0","1","0","1","0","0","0","1","0","1","0"
"248","","","1","0","143Ch","0","0","1","1","1","1","0","0","0","0","1","0","1","0"
"250","","","1","0","141Eh","0","1","1","1","1","0","0","0","0","0","1","0","1","0"
"252","","","1","0","13FBh","1","1","0","1","1","1","1","1","1","1","0","0","1","0"
"254","","","1","0","13E3h","1","1","0","0","0","1","1","1","1","1","0","0","1","0"
"256","","","1","0","13C3h","1","1","0","0","0","0","1","1","1","1","0","0","1","0"
"258","","","1","0","13A7h","1","1","1","0","0","1","0","1","1","1","0","0","1","0"
"260","","","1","0","138Ch","0","0","1","1","0","0","0","1","1","1","0","0","1","0"
"262","","","1","0","136Ch","0","0","1","1","0","1","1","0","1","1","0","0","1","0"
"264","","","1","0","134Ch","0","0","1","1","0","0","1","0","1","1","0","0","1","0"
"266","","","1","0","132Eh","0","1","1","1","0","1","0","0","1","1","0","0","1","0"
"268","","","1","0","1315h","1","0","1","0","1","0","0","0","1","1","0","0","1","0"
