# DateTime,20170420_203353
# Description,Variation of ringdown statistics with threshold
# InstrumentName,AMADS2015_NH3_BL
# SchemeFile,C:\Picarro\G2000\InstrConfig\Schemes\NH3_BL.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,47809.1757812
# TUNER_SWEEP_RAMP_LOW_REGISTER,17726.8261719
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,45709.1757812
# TUNER_WINDOW_RAMP_LOW_REGISTER,19826.8261719
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,197.43,0.3628,0.6388,6548.5149,2.93,2.3172,0.16492
,,3000,204.58,0.1175,0.6382,6548.5149,2.18,0.7498,0.05242
,,4000,204.54,0.0589,0.6381,6548.5150,1.01,0.3756,0.02626
,,5000,204.58,0.0390,0.6380,6548.5150,0.92,0.2488,0.01739
,,6000,204.58,0.0329,0.6381,6548.5150,0.93,0.2101,0.01469
,,7000,204.58,0.0322,0.6381,6548.5150,0.92,0.2056,0.01437
,,8000,204.58,0.0329,0.6382,6548.5150,0.96,0.2097,0.01466
,,9000,204.54,0.0325,0.6383,6548.5150,0.92,0.2075,0.01451
,,10000,204.17,0.0283,0.6383,6548.5150,0.93,0.1805,0.01264
,,11000,204.58,0.0234,0.6384,6548.5150,0.92,0.1496,0.01046
,,12000,204.37,0.0198,0.6384,6548.5150,0.94,0.1262,0.00883
,,13000,203.79,0.0194,0.6384,6548.5150,0.94,0.1241,0.00869
,,14000,202.80,0.0169,0.6384,6548.5150,0.93,0.1076,0.00756
,,15000,202.35,0.0175,0.6384,6548.5150,1.00,0.1114,0.00783
,,16000,202.14,0.0180,0.6384,6548.5150,1.04,0.1146,0.00806
