   EpochTime,InletValve,OutletValve,  Pressure,Stage
1493672259.3,      2500,         0,    759.16,    1
1493672261.3,      5000,         0,    759.15,    1
1493672263.3,      7500,         0,    759.15,    1
1493672265.3,     10000,         0,    759.15,    1
1493672267.3,     12500,         0,    759.15,    1
1493672269.3,     15000,         0,    759.16,    1
1493672271.3,     17499,         0,    759.16,    1
1493672273.4,     19999,         0,    759.16,    1
1493672275.4,     22498,         0,    759.17,    1
1493672277.4,     24997,         0,    759.17,    1
1493672279.4,     27497,         0,    759.17,    1
1493672281.4,     29997,         0,    759.18,    1
1493672283.4,     32496,         0,    759.18,    1
1493672285.4,     35246,         0,    759.19,    1
1493672287.4,     37746,         0,    759.19,    1
1493672289.4,     40245,         0,    759.19,    1
1493672291.4,     42744,         0,    759.20,    1
1493672293.4,     45243,         0,    759.21,    1
1493672295.5,     47743,         0,    759.21,    1
1493672297.5,     50242,         0,    759.21,    1
1493672299.5,     52741,         0,    759.22,    1
1493672301.5,     55241,         0,    759.23,    1
1493672303.5,     57741,         0,    759.23,    1
1493672305.5,     60240,         0,    759.24,    1
1493672307.5,     62739,         0,    759.24,    1
1493672309.5,     65238,         0,    759.25,    1
1493672312.6,         0,         0,    759.25,    2
1493672313.6,         0,         0,    759.26,    2
1493672314.6,         0,         0,    759.26,    2
1493672315.6,         0,         0,    759.26,    2
1493672316.6,         0,         0,    759.26,    2
1493672317.6,         0,         0,    759.27,    2
1493672318.6,         0,         0,    759.27,    2
1493672319.6,         0,         0,    759.27,    2
1493672320.6,         0,         0,    759.27,    2
1493672321.6,         0,         0,    759.28,    2
1493672322.6,         0,         0,    759.28,    2
1493672323.6,         0,         0,    759.28,    2
1493672324.6,         0,         0,    759.28,    2
1493672325.6,         0,         0,    759.28,    2
1493672326.6,         0,         0,    759.28,    2
1493672327.6,         0,         0,    759.29,    2
1493672328.6,         0,         0,    759.29,    2
1493672329.6,         0,         0,    759.29,    2
1493672330.6,         0,         0,    759.29,    2
1493672331.6,         0,         0,    759.30,    2
1493672332.6,         0,         0,    759.30,    2
1493672333.6,         0,         0,    759.30,    2
