y_parameter,  pressure,   date_time,     slope, intercept,                         comment
          ,          ,            ,          ,          ,         scale(orig)=6.91025e-05
          ,          ,            ,          ,          ,         offset(orig)=   4.87118
          ,          ,            ,          ,          ,                  P(atm)=759.065
          ,          ,            ,          ,          ,             P(cav_open)=758.597
    1.1266,  125.3654,1491956539.8,  119.3765,   -9.9910,                                
    1.1221,  124.5278,1491956544.4,  119.2585,   -9.8162,                                
    1.1164,  123.7262,1491956549.0,  119.1485,   -9.6534,                                
    1.1095,  122.9000,1491956553.6,  119.0150,   -9.4563,                                
    1.0988,  122.1446,1491956557.9,  119.0452,   -9.5009,                                
    1.1020,  121.3218,1491956562.3,  119.0475,   -9.5040,                                
    1.0930,  120.5971,1491956566.6,  119.1192,   -9.6093,                                
    1.0845,  119.7942,1491956571.3,  119.1192,   -9.6093,                                
    1.0732,  119.0049,1491956575.8,  119.0220,   -9.4672,                                
    1.0702,  118.1601,1491956580.3,  119.0168,   -9.4500,                                
    1.0628,  117.3606,1491956584.7,  119.0099,   -9.4400,                                
    1.0620,  116.5809,1491956589.3,  119.0099,   -9.4400,                                
    1.0571,  115.7882,1491956593.7,  119.0099,   -9.4400,                                
    1.0444,  115.0314,1491956598.1,  118.7684,   -9.0902,                                
    1.0361,  114.2167,1491956602.7,  118.7333,   -9.0395,                                
    1.0227,  113.3599,1491956607.4,  118.6166,   -8.8715,                                
    1.0273,  112.6207,1491956611.7,  118.5413,   -8.7762,                                
    1.0198,  111.8179,1491956616.3,  118.6257,   -8.8973,                                
    1.0136,  111.0468,1491956620.7,  118.6501,   -8.9324,                                
    1.0038,  110.2603,1491956625.2,  118.6430,   -8.9222,                                
    0.9966,  109.4337,1491956629.8,  118.5531,   -8.7941,                                
    0.9907,  108.6328,1491956634.3,  118.5423,   -8.7787,                                
    0.9832,  107.8660,1491956638.7,  118.3945,   -8.5922,                                
    0.9761,  107.0579,1491956643.1,  118.4726,   -8.7029,                                
    0.9682,  106.2799,1491956647.5,  118.5728,   -8.8446,                                
    0.9674,  105.5470,1491956651.8,  118.5728,   -8.8446,                                
    0.9593,  104.7886,1491956656.1,  118.5675,   -8.8371,                                
    0.9477,  104.0105,1491956660.6,  118.5398,   -8.7981,                                
    0.9480,  103.2301,1491956665.0,  118.5398,   -8.7981,                                
    0.9382,  102.4501,1491956669.5,  118.4303,   -8.6519,                                
    0.9331,  101.7281,1491956673.9,  118.4673,   -8.7035,                                
    0.9231,  100.9502,1491956678.4,  118.5072,   -8.7592,                                
    0.9138,  100.1870,1491956682.8,  118.5006,   -8.7499,                                
    0.9139,   99.4122,1491956687.4,  118.5006,   -8.7499,                                
    0.9046,   98.6681,1491956691.8,  118.4912,   -8.7369,                                
    0.8910,   97.8715,1491956696.3,  118.4936,   -8.7403,                                
    0.8886,   97.1440,1491956700.6,  118.4051,   -8.6337,                                
    0.8901,   96.4025,1491956705.0,  118.3918,   -8.6153,                                
    0.8800,   95.6608,1491956709.3,  118.3918,   -8.6153,                                
    0.8682,   94.9152,1491956713.7,  118.4017,   -8.6290,                                
    0.8699,   94.1657,1491956717.9,  118.4193,   -8.6531,                                
    0.8583,   93.4346,1491956722.1,  118.4309,   -8.6665,                                
    0.8535,   92.6731,1491956726.5,  118.3849,   -8.6040,                                
    0.8396,   91.8630,1491956731.1,  118.4242,   -8.6574,                                
    0.8361,   91.0188,1491956735.5,  118.4240,   -8.6571,                                
    0.8393,   90.2876,1491956739.7,  118.4352,   -8.6723,                                
    0.8333,   89.5872,1491956743.9,  118.4352,   -8.6723,                                
    0.8255,   88.9113,1491956747.9,  118.4069,   -8.6341,                                
    0.8164,   88.2233,1491956752.1,  118.3005,   -8.5054,                                
    0.8127,   87.4420,1491956756.7,  118.3005,   -8.5054,                                
    0.8058,   86.7536,1491956760.9,  118.2864,   -8.4865,                                
    0.7964,   86.1063,1491956764.9,  118.2864,   -8.4865,                                
    0.7862,   85.4159,1491956769.0,  118.1554,   -8.3115,                                
    0.7836,   84.7298,1491956773.2,  118.2029,   -8.3730,                                
    0.7741,   84.0495,1491956777.3,  118.2016,   -8.3713,                                
    0.7711,   83.3637,1491956781.5,  118.2016,   -8.3713,                                
    0.7645,   82.6869,1491956785.6,  118.1442,   -8.2954,                                
    0.7578,   81.9827,1491956789.9,  118.1701,   -8.3296,                                
    0.7583,   81.2626,1491956794.2,  118.1424,   -8.2931,                                
    0.7484,   80.5475,1491956798.6,  118.1546,   -8.3038,                                
    0.7459,   79.8392,1491956802.9,  118.1546,   -8.3038,                                
    0.7406,   79.1220,1491956807.2,  118.1546,   -8.3038,                                
    0.7324,   78.4967,1491956811.1,  118.0357,   -8.1483,                                
    0.7284,   77.8326,1491956815.3,  118.0838,   -8.2113,                                
    0.7228,   77.1461,1491956819.5,  118.1290,   -8.2703,                                
    0.7109,   76.4539,1491956823.8,  118.1539,   -8.3027,                                
    0.7139,   75.7758,1491956827.8,  118.1495,   -8.2970,                                
    0.7049,   75.0814,1491956832.1,  118.1495,   -8.2970,                                
    0.6951,   74.3635,1491956836.5,  118.1694,   -8.3228,                                
    0.6904,   73.6476,1491956840.9,  118.1592,   -8.3149,                                
    0.6777,   72.9749,1491956845.1,  118.1366,   -8.2858,                                
    0.6786,   72.2937,1491956849.4,  118.0787,   -8.2115,                                
    0.6718,   71.6155,1491956853.6,  118.0505,   -8.1753,                                
    0.6611,   70.9011,1491956858.0,  117.9934,   -8.1023,                                
    0.6528,   70.1969,1491956862.4,  117.9426,   -8.0423,                                
    0.6503,   69.5313,1491956866.6,  117.9056,   -7.9952,                                
    0.6488,   68.8610,1491956870.8,  117.9056,   -7.9952,                                
    0.6445,   68.1765,1491956875.2,  117.8644,   -7.9429,                                
    0.6354,   67.5654,1491956879.2,  117.8751,   -7.9566,                                
    0.6273,   66.9177,1491956883.4,  117.8569,   -7.9335,                                
    0.6233,   66.2446,1491956887.7,  117.8651,   -7.9439,                                
    0.6263,   65.5473,1491956892.1,  117.8788,   -7.9611,                                
    0.6151,   64.9772,1491956895.9,  117.8457,   -7.9265,                                
    0.6095,   64.3616,1491956900.0,  117.8457,   -7.9265,                                
    0.6033,   63.7424,1491956904.0,  117.8506,   -7.9327,                                
    0.5953,   63.1012,1491956908.1,  117.8569,   -7.9406,                                
    0.5922,   62.4589,1491956912.2,  117.8215,   -7.8964,                                
    0.5870,   61.7950,1491956916.6,  117.8459,   -7.9268,                                
    0.5786,   61.1577,1491956920.8,  117.8494,   -7.9312,                                
    0.5798,   60.4902,1491956925.1,  117.7844,   -7.8688,                                
    0.5655,   59.8695,1491956929.3,  117.7639,   -7.8435,                                
    0.5567,   59.2267,1491956933.5,  117.7615,   -7.8384,                                
    0.5644,   58.6095,1491956937.6,  117.7048,   -7.7690,                                
    0.5518,   57.9933,1491956941.8,  117.6948,   -7.7568,                                
    0.5531,   57.3869,1491956945.9,  117.6948,   -7.7568,                                
    0.5430,   56.8019,1491956950.0,  117.6782,   -7.7364,                                
    0.5429,   56.2127,1491956954.0,  117.6782,   -7.7364,                                
    0.5354,   55.5829,1491956958.3,  117.6330,   -7.6814,                                
    0.5301,   54.9972,1491956962.4,  117.6568,   -7.7036,                                
    0.5211,   54.3909,1491956966.5,  117.5618,   -7.5887,                                
    0.5190,   53.8173,1491956970.6,  117.5527,   -7.5777,                                
    0.5129,   53.2506,1491956974.5,  117.5529,   -7.5779,                                
    0.5051,   52.7080,1491956978.4,  117.5305,   -7.5510,                                
    0.5015,   52.1352,1491956982.6,  117.5305,   -7.5510,                                
    0.4979,   51.5638,1491956986.7,  117.4937,   -7.5067,                                
    0.4883,   50.9873,1491956990.9,  117.4686,   -7.4767,                                
    0.4870,   50.4030,1491956995.1,  117.4944,   -7.5077,                                
    0.4812,   49.8165,1491956999.3,  117.4846,   -7.4959,                                
    0.4754,   49.2387,1491957003.5,  117.4728,   -7.4818,                                
    0.4669,   48.6650,1491957007.7,  117.4728,   -7.4818,                                
    0.4632,   48.1248,1491957011.8,  117.4568,   -7.4627,                                
    0.4590,   47.5886,1491957015.8,  117.4279,   -7.4284,                                
    0.4512,   47.0699,1491957019.8,  117.3849,   -7.3860,                                
    0.4479,   46.5269,1491957023.9,  117.3849,   -7.3860,                                
    0.4473,   45.9711,1491957028.1,  117.3727,   -7.3716,                                
