# DateTime,20170421_081906
# Description,Variation of ringdown statistics with threshold
# InstrumentName,SADS2020_HF_PK
# SchemeFile,C:\Picarro\G2000\AppConfig\Schemes\HCL_peak.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,49549.4023438
# TUNER_SWEEP_RAMP_LOW_REGISTER,15991.5976562
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,47449.4023438
# TUNER_WINDOW_RAMP_LOW_REGISTER,18091.5976562
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,319.59,389.2842,0.3442,5739.1889,2.77,1340.0363,74.95821
,,3000,204.67,0.2757,0.7732,5739.1892,1.23,2.1313,0.14898
,,4000,204.62,0.1981,0.7735,5739.1892,1.27,1.5322,0.10711
,,5000,204.58,0.1553,0.7739,5739.1892,1.21,1.2020,0.08404
,,6000,204.58,0.1238,0.7741,5739.1892,1.31,0.9580,0.06698
,,7000,204.37,0.1195,0.7744,5739.1892,1.29,0.9254,0.06473
,,8000,202.96,0.0957,0.7747,5739.1892,1.35,0.7415,0.05205
,,9000,202.10,0.0817,0.7750,5739.1892,1.34,0.6333,0.04455
,,10000,201.37,0.0753,0.7752,5739.1892,1.39,0.5835,0.04112
,,11000,192.46,0.0568,0.7755,5739.1892,1.46,0.4401,0.03173
,,12000,189.75,0.0425,0.7757,5739.1892,1.46,0.3293,0.02391
,,13000,180.70,0.0372,0.7758,5739.1892,1.62,0.2883,0.02145
,,14000,169.64,0.0367,0.7757,5739.1892,1.67,0.2849,0.02188
,,15000,157.70,0.0375,0.7757,5739.1892,1.73,0.2910,0.02317
,,16000,143.53,0.0371,0.7757,5739.1892,1.82,0.2878,0.02402
