# DateTime,20170426_125403
# Description,Variation of ringdown statistics with threshold
# InstrumentName,SADS2020_HF_BL
# SchemeFile,C:\Picarro\G2000\AppConfig\Schemes\HCL_baseline.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,49551.9023438
# TUNER_SWEEP_RAMP_LOW_REGISTER,15994.0976562
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,47451.9023438
# TUNER_WINDOW_RAMP_LOW_REGISTER,18094.0976562
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,336.13,1790.6759,0.0981,5739.2623,3.37,1756.2564,95.79245
,,3000,204.58,0.2577,0.7991,5739.2627,1.33,2.0594,0.14398
,,4000,204.58,0.1389,0.7993,5739.2627,1.23,1.1104,0.07763
,,5000,204.54,0.1042,0.7996,5739.2626,1.25,0.8335,0.05828
,,6000,204.58,0.0895,0.7998,5739.2627,1.32,0.7159,0.05005
,,7000,204.58,0.0769,0.8000,5739.2626,1.31,0.6149,0.04299
,,8000,204.54,0.0636,0.8002,5739.2626,1.37,0.5092,0.03560
,,9000,204.37,0.0571,0.8004,5739.2626,1.31,0.4571,0.03197
,,10000,203.13,0.0491,0.8006,5739.2626,1.37,0.3928,0.02756
,,11000,200.76,0.0449,0.8007,5739.2626,1.35,0.3597,0.02538
,,12000,199.80,0.0432,0.8008,5739.2626,1.39,0.3456,0.02445
,,13000,193.35,0.0396,0.8009,5739.2626,1.48,0.3169,0.02279
,,14000,187.55,0.0348,0.8011,5739.2626,1.52,0.2785,0.02033
,,15000,177.12,0.0307,0.8012,5739.2626,1.56,0.2461,0.01849
,,16000,174.55,0.0287,0.8012,5739.2626,1.70,0.2303,0.01743
