"SamplePeriod","TriggerSample","CompressedData"
"0.00000002","1213","True"
"SampleNumber","DSP_I2C0","DSP_I2C1","Clock2","Clock1","ADCout","Data0","Data1","Data2","Data3","Data4","Data5","Data6","Data7","Data8","Data9","Data10","Data11","Data12","Data13"
"284","","","1","0","040Fh","1","1","1","1","0","0","0","0","0","0","1","0","0","0"
"290","","","1","0","0410h","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"292","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"294","","","1","0","0410h","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"296","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"300","","","1","0","0411h","1","0","0","0","1","0","0","0","0","0","1","0","0","0"
"302","","","1","0","040Fh","1","1","1","1","0","0","0","0","0","0","1","0","0","0"
"304","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"306","","","1","0","0411h","1","0","0","0","1","0","0","0","0","0","1","0","0","0"
"308","","","1","0","0410h","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"310","","","1","0","040Fh","1","1","1","1","0","0","0","0","0","0","1","0","0","0"
"314","","","1","0","040Ch","0","0","1","1","0","0","0","0","0","0","1","0","0","0"
"316","","","1","0","040Dh","1","0","1","1","0","0","0","0","0","0","1","0","0","0"
"318","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"320","","","1","0","0410h","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"322","","","1","0","040Dh","1","0","1","1","0","0","0","0","0","0","1","0","0","0"
"324","","","1","0","0409h","1","0","0","1","0","0","0","0","0","0","1","0","0","0"
"326","","","1","0","040Dh","1","0","1","1","0","0","0","0","0","0","1","0","0","0"
"328","","","1","0","040Fh","1","1","1","1","0","0","0","0","0","0","1","0","0","0"
"330","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"332","","","1","0","040Fh","1","1","1","1","0","0","0","0","0","0","1","0","0","0"
"334","","","1","0","040Dh","1","0","1","1","0","0","0","0","0","0","1","0","0","0"
"336","","","1","0","040Fh","1","1","1","1","0","0","0","0","0","0","1","0","0","0"
"342","","","1","0","0412h","0","1","0","0","1","0","0","0","0","0","1","0","0","0"
"344","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"346","","","1","0","040Fh","1","1","1","1","0","0","0","0","0","0","1","0","0","0"
"352","","","1","0","0411h","1","0","0","0","1","0","0","0","0","0","1","0","0","0"
"354","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"356","","","1","0","040Fh","1","1","1","1","0","0","0","0","0","0","1","0","0","0"
"358","","","1","0","0413h","1","1","0","0","1","0","0","0","0","0","1","0","0","0"
"360","","","1","0","0410h","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"362","","","1","0","0412h","0","1","0","0","1","0","0","0","0","0","1","0","0","0"
"364","","","1","0","0414h","0","0","1","0","1","0","0","0","0","0","1","0","0","0"
"366","","","1","0","0410h","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"368","","","1","0","040Fh","1","1","1","1","0","0","0","0","0","0","1","0","0","0"
"370","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"372","","","1","0","040Ch","0","0","1","1","0","0","0","0","0","0","1","0","0","0"
"374","","","1","0","040Dh","1","0","1","1","0","0","0","0","0","0","1","0","0","0"
"376","","","1","0","040Fh","1","1","1","1","0","0","0","0","0","0","1","0","0","0"
"378","","","1","0","040Ch","0","0","1","1","0","0","0","0","0","0","1","0","0","0"
"380","","","1","0","040Ah","0","1","0","1","0","0","0","0","0","0","1","0","0","0"
"382","","","1","0","040Ch","0","0","1","1","0","0","0","0","0","0","1","0","0","0"
"384","","","1","0","040Dh","1","0","1","1","0","0","0","0","0","0","1","0","0","0"
"386","","","1","0","040Ch","0","0","1","1","0","0","0","0","0","0","1","0","0","0"
"388","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"390","","","1","0","040Bh","1","1","0","1","0","0","0","0","0","0","1","0","0","0"
"392","","","1","0","040Ch","0","0","1","1","0","0","0","0","0","0","1","0","0","0"
"396","","","1","0","040Dh","1","0","1","1","0","0","0","0","0","0","1","0","0","0"
"398","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"400","","","1","0","040Bh","1","1","0","1","0","0","0","0","0","0","1","0","0","0"
"402","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"404","","","1","0","0410h","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"406","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"410","","","1","0","040Fh","1","1","1","1","0","0","0","0","0","0","1","0","0","0"
"414","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"416","","","1","0","0411h","1","0","0","0","1","0","0","0","0","0","1","0","0","0"
