# DateTime,20170412_082202
# Description,Variation of ringdown statistics with threshold
# InstrumentName,SADS2020_HF_PK
# SchemeFile,C:\Picarro\G2000\AppConfig\Schemes\HCL_peak.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,49546.9023438
# TUNER_SWEEP_RAMP_LOW_REGISTER,15989.0976562
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,47446.9023438
# TUNER_WINDOW_RAMP_LOW_REGISTER,18089.0976562
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,201.86,22.7092,0.7849,5739.1892,1.59,178.2379,12.54521
,,3000,204.54,0.0988,0.7804,5739.1892,1.18,0.7713,0.05393
,,4000,204.58,0.0531,0.7805,5739.1892,1.20,0.4145,0.02898
,,5000,204.54,0.0397,0.7806,5739.1892,1.21,0.3096,0.02165
,,6000,204.54,0.0320,0.7807,5739.1892,1.25,0.2494,0.01744
,,7000,204.54,0.0306,0.7808,5739.1892,1.28,0.2387,0.01669
,,8000,204.54,0.0278,0.7809,5739.1892,1.24,0.2169,0.01517
,,9000,204.58,0.0252,0.7809,5739.1892,1.26,0.1966,0.01374
,,10000,204.37,0.0218,0.7810,5739.1892,1.30,0.1701,0.01190
,,11000,202.72,0.0185,0.7811,5739.1892,1.33,0.1445,0.01015
,,12000,201.37,0.0165,0.7811,5739.1892,1.33,0.1285,0.00906
,,13000,200.56,0.0169,0.7811,5739.1892,1.35,0.1322,0.00933
,,14000,195.20,0.0173,0.7811,5739.1892,1.41,0.1348,0.00965
,,15000,192.98,0.0170,0.7811,5739.1892,1.39,0.1328,0.00956
,,16000,187.16,0.0171,0.7811,5739.1892,1.46,0.1333,0.00975
