20      43.764845	-79.1762    FF9900
24      43.765121	-79.176698  FF9900
98      43.768458	-79.175865  FF9900
194     43.645543	-79.365557  FF9900
55      43.7655	    -79.18004   FF9900
62      43.76445	-79.17353   FF9900
99      43.765062	-79.173811  FF9900
66      43.759809	-79.171872  FF9900
5       43.764833	-79.184715  FF9900
73      43.768333	-79.171036  FF9900
198     43.769286	-79.16983   FF9900
133     43.564878	-79.651516  FF9900
138     43.564194	-79.650728  FF9900
127     43.566474	-79.655319  FF9900
129     43.568703	-79.654097  FF9900
7       43.769273	-79.180526  FF9900
38      43.769202	-79.180427  FF9900
94      43.7651	    -79.177981  FF9900
162     43.560153	-79.641964  FF9900
178     43.562827	-79.638128  FF9900
16	    43.756448	-79.178245  FFCC66
39	    43.755698	-79.178463  FFCC66
42	    43.755965	-79.178492  FFCC66
51	    43.756183	-79.177913  FFCC66
92	    43.755162	-79.18023   FFCC66
103	    43.756511	-79.175212  FFCC66
9	    43.76336	-79.181903  FFCC66
84	    43.762461	-79.183017  FFCC66
57	    43.75683	-79.180974  FFCC66
108	    43.755805	-79.17761   FFCC66
122	    43.568903	-79.658215  FFCC66
3	    43.769019	-79.180523  FFCC66
179	    43.563678	-79.638015  FFCC66
