EPOCH_TIME                ALARM_STATUS              INST_STATUS               Delta_High_Conc_Raw_iCH4  C13_Delta_Raw             CH4                       ValveMask                 GPS_ABS_LAT               GPS_ABS_LONG              GPS_FIT                   
1321423412.607            0                         963                       -2.3603156299E+001        -4.4237308608E+001        2.3099221428E+000         6.0000000000E+000         3.7382259546E+001         -1.2197802439E+002        1.0000000000E+000         
1321423413.545            0                         963                       -8.7373903341E+000        -4.3152747361E+001        2.2633559301E+000         6.0000000000E+000         3.7382258921E+001         -1.2197801974E+002        1.0000000000E+000         
1321423414.475            0                         963                       -9.9379701791E+000        -3.5227415880E+001        2.2353969866E+000         6.0000000000E+000         3.7382255232E+001         -1.2197800703E+002        1.0000000000E+000         
1321423415.408            0                         963                       -2.2611275953E+001        -4.7736591740E+001        2.2184728345E+000         6.0000000000E+000         3.7382243380E+001         -1.2197798259E+002        1.0000000000E+000         
1321423416.471            0                         963                       -1.1435010019E+001        -3.4239799415E+001        2.2063781904E+000         6.0000000000E+000         3.7382215213E+001         -1.2197794829E+002        1.0000000000E+000         
1321423417.419            0                         963                       -1.8585779749E+001        -4.7214650721E+001        2.1979633511E+000         6.0000000000E+000         3.7382169265E+001         -1.2197791579E+002        1.0000000000E+000         
1321423418.033            0                         963                       -1.0240462505E+001        -3.5355216814E+001        2.1910772904E+000         6.0000000000E+000         3.7382109931E+001         -1.2197789367E+002        1.0000000000E+000         
1321423418.660            0                         963                       -1.0240462505E+001        -3.5355216814E+001        2.1910772904E+000         6.0000000000E+000         3.7382036821E+001         -1.2197788310E+002        1.0000000000E+000         
1321423419.602            0                         963                       -1.8108900943E+001        -4.0720269863E+001        2.1861454249E+000         6.0000000000E+000         3.7381948341E+001         -1.2197787980E+002        1.0000000000E+000         
1321423420.528            0                         963                       -1.9497999722E+001        -3.7437501173E+001        2.1838630981E+000         6.0000000000E+000         3.7381850391E+001         -1.2197787970E+002        1.0000000000E+000         
1321423421.445            0                         963                       -1.5165986408E+001        -3.6781936602E+001        2.1808027114E+000         6.0000000000E+000         3.7381739940E+001         -1.2197787881E+002        1.0000000000E+000         
1321423422.388            0                         963                       -1.0261600424E+001        -3.6356332949E+001        2.1791566087E+000         6.0000000000E+000         3.7381616345E+001         -1.2197787702E+002        1.0000000000E+000         
1321423423.438            0                         963                       -8.6096483830E-001        -3.7645032241E+001        2.1782881577E+000         6.0000000000E+000         3.7381485667E+001         -1.2197787579E+002        1.0000000000E+000         
1321423423.980            0                         963                       -3.9349496104E+000        -3.3364544970E+001        2.1757114174E+000         6.0000000000E+000         3.7381347114E+001         -1.2197787571E+002        1.0000000000E+000         
1321423424.609            0                         963                       -3.9349496104E+000        -3.3364544970E+001        2.1757114174E+000         6.0000000000E+000         3.7381211314E+001         -1.2197787654E+002        1.0000000000E+000         
1321423425.549            0                         963                       6.6708690920E-001         -3.6237557230E+001        2.1740081867E+000         6.0000000000E+000         3.7381075643E+001         -1.2197787747E+002        1.0000000000E+000         
1321423426.490            0                         963                       -9.4991593226E+000        -3.6958728417E+001        2.1725601974E+000         6.0000000000E+000         3.7380947458E+001         -1.2197787820E+002        1.0000000000E+000         
1321423427.441            0                         963                       -4.9961259545E+000        -3.5356160131E+001        2.1719560492E+000         6.0000000000E+000         3.7380847384E+001         -1.2197787836E+002        1.0000000000E+000         
1321423428.389            0                         963                       -1.7002552990E+001        -4.1403635165E+001        2.1706513433E+000         6.0000000000E+000         3.7380785425E+001         -1.2197788001E+002        1.0000000000E+000         
1321423429.451            0                         963                       -1.1407372151E+001        -3.6536451252E+001        2.1695890220E+000         6.0000000000E+000         3.7380755878E+001         -1.2197788057E+002        1.0000000000E+000         
1321423429.986            0                         963                       -1.8976170188E+001        -3.7427873082E+001        2.1688562440E+000         6.0000000000E+000         3.7380751966E+001         -1.2197788116E+002        1.0000000000E+000         
1321423430.605            0                         963                       -1.8976170188E+001        -3.7427873082E+001        2.1688562440E+000         6.0000000000E+000         3.7380753427E+001         -1.2197788186E+002        1.0000000000E+000         
1321423431.539            0                         963                       -1.2222907261E+001        -4.2150884621E+001        2.1675938733E+000         6.0000000000E+000         3.7380754856E+001         -1.2197788251E+002        1.0000000000E+000         
1321423432.482            0                         963                       -1.5376767178E+001        -4.8932191573E+001        2.1668613713E+000         6.0000000000E+000         3.7380756157E+001         -1.2197788311E+002        1.0000000000E+000         
1321423433.458            0                         963                       -6.2029335350E+000        -3.4916316241E+001        2.1657439071E+000         6.0000000000E+000         3.7380757316E+001         -1.2197788373E+002        1.0000000000E+000         
1321423434.416            0                         963                       -1.0837058181E+001        -3.7538135867E+001        2.1652354436E+000         2.4748201439E+000         3.7380758451E+001         -1.2197788429E+002        1.0000000000E+000         
1321423435.469            0                         963                       -3.4375455525E+000        -3.1577658553E+001        2.1643858818E+000         2.0000000000E+000         3.7380759534E+001         -1.2197788482E+002        1.0000000000E+000         
1321423436.001            0                         963                       -1.9505485758E+002        2.6897541437E+001         2.7506959919E+000         2.0000000000E+000         3.7380760570E+001         -1.2197788535E+002        1.0000000000E+000         
1321423436.640            0                         963                       -1.9505485758E+002        2.6897541437E+001         2.7506959919E+000         2.0000000000E+000         3.7380761532E+001         -1.2197788578E+002        1.0000000000E+000         
1321423437.585            0                         963                       1.1523363973E+001         -4.2220896266E+001        7.6489656737E+000         6.0000000000E+000         3.7380762365E+001         -1.2197788617E+002        1.0000000000E+000         
1321423438.512            0                         963                       -1.5810857517E+001        -4.0605100549E+001        8.4534115069E+000         6.0000000000E+000         3.7380763119E+001         -1.2197788655E+002        1.0000000000E+000         
1321423439.441            0                         963                       -3.5341024013E+001        -2.7699011427E+001        6.0904184542E+000         6.0000000000E+000         3.7380763799E+001         -1.2197788694E+002        1.0000000000E+000         
1321423440.496            0                         963                       -6.8660876054E+001        -2.6690307557E+001        3.2868730270E+000         6.0000000000E+000         3.7380764404E+001         -1.2197788727E+002        1.0000000000E+000         
1321423441.419            0                         963                       -1.7962465345E+001        -3.5069132299E+001        2.9602404404E+000         6.0000000000E+000         3.7380764973E+001         -1.2197788757E+002        1.0000000000E+000         
