# DateTime,20170420_100602
# Description,Variation of ringdown statistics with threshold
# InstrumentName,SADS2020_HF_PK
# SchemeFile,C:\Picarro\G2000\AppConfig\Schemes\HCL_peak.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,49450.9023438
# TUNER_SWEEP_RAMP_LOW_REGISTER,15893.0976562
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,47350.9023438
# TUNER_WINDOW_RAMP_LOW_REGISTER,17993.0976562
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,196.23,181.8063,0.3137,5739.1892,2.96,570.2937,40.71115
,,3000,204.58,0.1816,0.7737,5739.1892,1.25,1.4048,0.09821
,,4000,204.58,0.1141,0.7741,5739.1892,1.28,0.8836,0.06178
,,5000,204.54,0.0906,0.7744,5739.1892,1.29,0.7013,0.04904
,,6000,204.58,0.0780,0.7747,5739.1892,1.31,0.6043,0.04225
,,7000,203.38,0.0628,0.7749,5739.1892,1.35,0.4869,0.03414
,,8000,200.16,0.0530,0.7751,5739.1892,1.31,0.4112,0.02906
,,9000,191.90,0.0421,0.7752,5739.1892,1.46,0.3263,0.02355
,,10000,182.65,0.0382,0.7753,5739.1892,1.54,0.2962,0.02192
,,11000,164.18,0.0343,0.7755,5739.1892,1.68,0.2656,0.02073
,,12000,151.52,0.0295,0.7756,5739.1892,1.72,0.2291,0.01862
,,13000,131.04,0.0280,0.7756,5739.1892,1.75,0.2174,0.01899
,,14000,119.62,0.0280,0.7756,5739.1893,1.85,0.2174,0.01987
,,15000,101.71,0.0266,0.7756,5739.1893,1.84,0.2063,0.02046
,,16000,83.93,0.0279,0.7756,5739.1893,1.81,0.2163,0.02361
