# DateTime,20170412_083250
# Description,Variation of ringdown statistics with threshold
# InstrumentName,SADS2020_HF_PK
# SchemeFile,C:\Picarro\G2000\AppConfig\Schemes\HCL_peak.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,49546.9023438
# TUNER_SWEEP_RAMP_LOW_REGISTER,15989.0976562
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,47446.9023438
# TUNER_WINDOW_RAMP_LOW_REGISTER,18089.0976562
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,202.96,24.8988,0.7967,5739.1892,1.53,198.3624,13.92358
,,3000,204.58,0.1195,0.7805,5739.1892,1.20,0.9325,0.06520
,,4000,204.58,0.0539,0.7807,5739.1892,1.22,0.4204,0.02939
,,5000,204.58,0.0409,0.7808,5739.1892,1.26,0.3190,0.02231
,,6000,204.54,0.0343,0.7808,5739.1892,1.24,0.2676,0.01871
,,7000,204.58,0.0293,0.7809,5739.1892,1.26,0.2290,0.01601
,,8000,204.54,0.0280,0.7810,5739.1892,1.27,0.2188,0.01530
,,9000,204.37,0.0268,0.7811,5739.1892,1.28,0.2094,0.01465
,,10000,203.96,0.0238,0.7812,5739.1892,1.32,0.1860,0.01302
,,11000,202.76,0.0204,0.7812,5739.1892,1.32,0.1595,0.01120
,,12000,201.57,0.0182,0.7813,5739.1892,1.30,0.1419,0.00999
,,13000,199.80,0.0154,0.7813,5739.1892,1.32,0.1205,0.00853
,,14000,194.25,0.0150,0.7813,5739.1892,1.43,0.1169,0.00839
,,15000,192.46,0.0160,0.7813,5739.1892,1.45,0.1250,0.00901
,,16000,181.98,0.0159,0.7813,5739.1892,1.52,0.1244,0.00922
