EPOCH_TIME                ALARM_STATUS              GPS_ABS_LONG              GPS_ABS_LAT               CH4                       
1317073957.033            0                         -1.2197869469e+02         3.7382165828e+01          1.9028218447e+00          
1317073958.066            0                         -1.2197870632e+02         3.7382192847e+01          1.8762897683e+00          
1317073959.111            0                         -1.2197870934e+02         3.7382209820e+01          1.8595107470e+00          
1317073960.159            0                         -1.2197870807e+02         3.7382216661e+01          1.8556612317e+00          
1317073961.180            0                         -1.2197870486e+02         3.7382219039e+01          1.8547605493e+00          
1317073962.240            0                         -1.2197870160e+02         3.7382219264e+01          1.8529644324e+00          
1317073963.327            0                         -1.2197869792e+02         3.7382222665e+01          1.8528207535e+00          
1317073964.372            0                         -1.2197869233e+02         3.7382231864e+01          1.8500949086e+00          
1317073965.394            0                         -1.2197868166e+02         3.7382245661e+01          1.8463048319e+00          
1317073966.428            0                         -1.2197865753e+02         3.7382262312e+01          1.8494375788e+00          
1317073967.480            0                         -1.2197861303e+02         3.7382273718e+01          1.8500080203e+00          
1317073968.532            0                         -1.2197854966e+02         3.7382274831e+01          1.8500303799e+00          
1317073969.562            0                         -1.2197847419e+02         3.7382272215e+01          1.8454743839e+00          
1317073970.614            0                         -1.2197838792e+02         3.7382271016e+01          1.8434529088e+00          
1317073971.654            0                         -1.2197829912e+02         3.7382270558e+01          1.8427257559e+00          
1317073972.671            0                         -1.2197821718e+02         3.7382270280e+01          1.8445973177e+00          
1317073973.687            0                         -1.2197814423e+02         3.7382269289e+01          1.8463582345e+00          
1317073974.734            0                         -1.2197808622e+02         3.7382265572e+01          1.8479612237e+00          
1317073975.814            0                         -1.2197804940e+02         3.7382259768e+01          1.8503249098e+00          
1317073976.867            0                         -1.2197803503e+02         3.7382256696e+01          1.8488587836e+00          
1317073977.905            0                         -1.2197803228e+02         3.7382256362e+01          1.8469447070e+00          
1317073978.928            0                         -1.2197803164e+02         3.7382256596e+01          1.8467586420e+00          
1317073980.002            0                         -1.2197803120e+02         3.7382256775e+01          1.8459394344e+00          
1317073981.052            0                         -1.2197803080e+02         3.7382256977e+01          1.8450699015e+00          
1317073982.085            0                         -1.2197803046e+02         3.7382257214e+01          1.8453018088e+00          
1317073983.089            0                         -1.2197803022e+02         3.7382257468e+01          1.8464187644e+00          
1317073984.117            0                         -1.2197802999e+02         3.7382257695e+01          1.8475519494e+00          
1317073985.175            0                         -1.2197802882e+02         3.7382257961e+01          1.8473877200e+00          
1317073986.276            0                         -1.2197802676e+02         3.7382258181e+01          1.8471928658e+00          
1317073987.330            0                         -1.2197802586e+02         3.7382258759e+01          1.8467835974e+00          
1317073988.384            0                         -1.2197802546e+02         3.7382259237e+01          1.8464718783e+00          
1317073989.445            0                         -1.2197802439e+02         3.7382259546e+01          1.8466723260e+00          
1317073990.492            0                         -1.2197801974e+02         3.7382258921e+01          1.8471644187e+00          
1317073991.533            0                         -1.2197800703e+02         3.7382255232e+01          1.8470149137e+00          
1317073992.583            0                         -1.2197798259e+02         3.7382243380e+01          1.8484317926e+00          
1317073993.643            0                         -1.2197794829e+02         3.7382215213e+01          1.8502564397e+00          
1317073994.685            0                         -1.2197791579e+02         3.7382169265e+01          1.8508512674e+00          
1317073995.695            0                         -1.2197789367e+02         3.7382109931e+01          1.8489128216e+00          
1317073996.722            0                         -1.2197788310e+02         3.7382036821e+01          1.8477958781e+00          
1317073997.796            0                         -1.2197787980e+02         3.7381948341e+01          1.8458483868e+00          
1317073998.843            0                         -1.2197787970e+02         3.7381850391e+01          1.8437441262e+00          
1317073999.903            0                         -1.2197787881e+02         3.7381739940e+01          1.8414105542e+00          
1317074000.973            0                         -1.2197787702e+02         3.7381616345e+01          1.8435517621e+00          
1317074002.031            0                         -1.2197787579e+02         3.7381485667e+01          1.8418967345e+00          
1317074003.113            0                         -1.2197787571e+02         3.7381347114e+01          1.8384794645e+00          
1317074004.153            0                         -1.2197787654e+02         3.7381211314e+01          1.8356330781e+00          
1317074005.207            0                         -1.2197787747e+02         3.7381075643e+01          1.8376464576e+00          
1317074006.247            0                         -1.2197787820e+02         3.7380947458e+01          1.8418915948e+00          
1317074007.306            0                         -1.2197787836e+02         3.7380847384e+01          1.8383703067e+00          
1317074008.343            0                         -1.2197788001e+02         3.7380785425e+01          1.8353454836e+00          
1317074009.420            0                         -1.2197788057e+02         3.7380755878e+01          1.8359725225e+00          
1317074010.474            0                         -1.2197788116e+02         3.7380751966e+01          1.8382584627e+00          
1317074011.539            0                         -1.2197788186e+02         3.7380753427e+01          1.8388393311e+00          
1317074012.624            0                         -1.2197788251e+02         3.7380754856e+01          1.8373243745e+00          
1317074013.682            0                         -1.2197788311e+02         3.7380756157e+01          1.8351530773e+00          
1317074014.735            0                         -1.2197788373e+02         3.7380757316e+01          1.8354214277e+00          
1317074015.808            0                         -1.2197788429e+02         3.7380758451e+01          1.8359994370e+00          
1317074016.890            0                         -1.2197788482e+02         3.7380759534e+01          1.8389193290e+00          
1317074017.976            0                         -1.2197788535e+02         3.7380760570e+01          1.8416854967e+00          
1317074019.074            0                         -1.2197788578e+02         3.7380761532e+01          1.8414083024e+00          
1317074020.111            0                         -1.2197788617e+02         3.7380762365e+01          1.8392290132e+00          
1317074021.157            0                         -1.2197788655e+02         3.7380763119e+01          1.8401598044e+00          
