# DateTime,20170420_204454
# Description,Variation of ringdown statistics with threshold
# InstrumentName,AMADS2015_NH3_BL
# SchemeFile,C:\Picarro\G2000\InstrConfig\Schemes\NH3_BL.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,47809.1757812
# TUNER_SWEEP_RAMP_LOW_REGISTER,17726.8261719
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,45709.1757812
# TUNER_WINDOW_RAMP_LOW_REGISTER,19826.8261719
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,198.29,0.0000,0.6391,6548.5149,2.68,0.0001,0.00001
,,3000,204.62,0.0000,0.6391,6548.5149,2.02,0.0001,0.00001
,,4000,204.58,0.0000,0.6391,6548.5150,1.05,0.0001,0.00001
,,5000,204.58,0.0000,0.6391,6548.5150,0.94,0.0001,0.00001
,,6000,204.58,0.0000,0.6391,6548.5150,0.90,0.0001,0.00001
,,7000,204.37,0.0000,0.6391,6548.5150,0.95,0.0001,0.00001
,,8000,204.58,0.0000,0.6391,6548.5150,0.93,0.0001,0.00001
,,9000,204.58,0.0000,0.6391,6548.5150,0.89,0.0001,0.00001
,,10000,204.17,0.0000,0.6391,6548.5150,0.92,0.0001,0.00001
,,11000,203.79,0.0000,0.6391,6548.5150,0.97,0.0001,0.00001
,,12000,204.17,0.0000,0.6391,6548.5150,0.96,0.0001,0.00001
,,13000,202.96,0.0000,0.6391,6548.5150,0.94,0.0001,0.00001
,,14000,202.35,0.0000,0.6391,6548.5150,0.98,0.0001,0.00001
,,15000,201.33,0.0000,0.6391,6548.5150,1.05,0.0001,0.00001
,,16000,201.90,0.0000,0.6391,6548.5150,1.01,0.0001,0.00001
