# DateTime,20170420_204147
# Description,Variation of ringdown statistics with threshold
# InstrumentName,AMADS2015_HF_BL
# SchemeFile,C:\Picarro\G2000\AppConfig\Schemes\HF_baseline.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,47809.1757812
# TUNER_SWEEP_RAMP_LOW_REGISTER,17726.8261719
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,45709.1757812
# TUNER_WINDOW_RAMP_LOW_REGISTER,19826.8261719
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,212.63,0.0000,0.6391,7823.4000,2.67,0.0001,0.00001
,,3000,204.54,0.0000,0.6391,7823.4000,1.71,0.0001,0.00001
,,4000,204.54,0.0000,0.6391,7823.4001,1.37,0.0001,0.00001
,,5000,204.58,0.0000,0.6391,7823.4001,1.31,0.0001,0.00001
,,6000,204.54,0.0000,0.6391,7823.4001,1.35,0.0001,0.00001
,,7000,204.33,0.0000,0.6391,7823.4001,1.41,0.0001,0.00001
,,8000,204.00,0.0000,0.6391,7823.4001,1.38,0.0001,0.00001
,,9000,203.13,0.0000,0.6391,7823.4000,1.37,0.0001,0.00001
,,10000,200.04,0.0000,0.6391,7823.4000,1.40,0.0001,0.00001
,,11000,199.76,0.0000,0.6391,7823.4000,1.39,0.0001,0.00001
,,12000,194.29,0.0000,0.6391,7823.4000,1.45,0.0001,0.00001
,,13000,187.72,0.0000,0.6391,7823.4000,1.51,0.0001,0.00001
,,14000,183.12,0.0000,0.6391,7823.4000,1.58,0.0001,0.00001
,,15000,173.67,0.0000,0.6391,7823.4000,1.64,0.0001,0.00001
,,16000,173.64,0.0000,0.6391,7823.4000,1.55,0.0001,0.00001
