"SamplePeriod","TriggerSample","CompressedData"
"0.00000002","1278","True"
"SampleNumber","DSP_I2C0","DSP_I2C1","Clock2","Clock1","ADCout","Data0","Data1","Data2","Data3","Data4","Data5","Data6","Data7","Data8","Data9","Data10","Data11","Data12","Data13"
"86","","","1","0","034Ch","0","0","1","1","0","0","1","0","1","1","0","0","0","0"
"88","","","1","0","0351h","1","0","0","0","1","0","1","0","1","1","0","0","0","0"
"90","","","1","0","034Fh","1","1","1","1","0","0","1","0","1","1","0","0","0","0"
"92","","","1","0","0351h","1","0","0","0","1","0","1","0","1","1","0","0","0","0"
"94","","","1","0","0352h","0","1","0","0","1","0","1","0","1","1","0","0","0","0"
"96","","","1","0","0353h","1","1","0","0","1","0","1","0","1","1","0","0","0","0"
"98","","","1","0","0350h","0","0","0","0","1","0","1","0","1","1","0","0","0","0"
"100","","","1","0","034Eh","0","1","1","1","0","0","1","0","1","1","0","0","0","0"
"102","","","1","0","034Fh","1","1","1","1","0","0","1","0","1","1","0","0","0","0"
"104","","","1","0","0352h","0","1","0","0","1","0","1","0","1","1","0","0","0","0"
"106","","","1","0","034Eh","0","1","1","1","0","0","1","0","1","1","0","0","0","0"
"108","","","1","0","0350h","0","0","0","0","1","0","1","0","1","1","0","0","0","0"
"110","","","1","0","0351h","1","0","0","0","1","0","1","0","1","1","0","0","0","0"
"112","","","1","0","0350h","0","0","0","0","1","0","1","0","1","1","0","0","0","0"
"114","","","1","0","0352h","0","1","0","0","1","0","1","0","1","1","0","0","0","0"
"116","","","1","0","0350h","0","0","0","0","1","0","1","0","1","1","0","0","0","0"
"120","","","1","0","0353h","1","1","0","0","1","0","1","0","1","1","0","0","0","0"
"122","","","1","0","034Fh","1","1","1","1","0","0","1","0","1","1","0","0","0","0"
"124","","","1","0","0350h","0","0","0","0","1","0","1","0","1","1","0","0","0","0"
"128","","","1","0","0352h","0","1","0","0","1","0","1","0","1","1","0","0","0","0"
"130","","","1","0","034Fh","1","1","1","1","0","0","1","0","1","1","0","0","0","0"
"132","","","1","0","0351h","1","0","0","0","1","0","1","0","1","1","0","0","0","0"
"134","","","1","0","0350h","0","0","0","0","1","0","1","0","1","1","0","0","0","0"
"136","","","1","0","0351h","1","0","0","0","1","0","1","0","1","1","0","0","0","0"
"138","","","1","0","034Eh","0","1","1","1","0","0","1","0","1","1","0","0","0","0"
"140","","","1","0","0350h","0","0","0","0","1","0","1","0","1","1","0","0","0","0"
"142","","","1","0","0351h","1","0","0","0","1","0","1","0","1","1","0","0","0","0"
"144","","","1","0","034Eh","0","1","1","1","0","0","1","0","1","1","0","0","0","0"
"146","","","1","0","034Dh","1","0","1","1","0","0","1","0","1","1","0","0","0","0"
"148","","","1","0","0351h","1","0","0","0","1","0","1","0","1","1","0","0","0","0"
"150","","","1","0","0352h","0","1","0","0","1","0","1","0","1","1","0","0","0","0"
"152","","","1","0","034Fh","1","1","1","1","0","0","1","0","1","1","0","0","0","0"
"154","","","1","0","034Eh","0","1","1","1","0","0","1","0","1","1","0","0","0","0"
"156","","","1","0","034Fh","1","1","1","1","0","0","1","0","1","1","0","0","0","0"
"158","","","1","0","0351h","1","0","0","0","1","0","1","0","1","1","0","0","0","0"
"162","","","1","0","0350h","0","0","0","0","1","0","1","0","1","1","0","0","0","0"
"164","","","1","0","034Eh","0","1","1","1","0","0","1","0","1","1","0","0","0","0"
"166","","","1","0","0350h","0","0","0","0","1","0","1","0","1","1","0","0","0","0"
"168","","","1","0","0352h","0","1","0","0","1","0","1","0","1","1","0","0","0","0"
