# DateTime,20170420_192739
# Description,Variation of ringdown statistics with threshold
# InstrumentName,AMADS2015_NH3_PK
# SchemeFile,C:\Picarro\G2000\InstrConfig\Schemes\NH3_PK.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,47809.1757812
# TUNER_SWEEP_RAMP_LOW_REGISTER,17726.8261719
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,45709.1757812
# TUNER_WINDOW_RAMP_LOW_REGISTER,19826.8261719
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,199.40,5.9376,0.6398,6548.8039,2.41,37.9874,2.69014
,,3000,204.58,0.1155,0.6389,6548.8039,2.30,0.7381,0.05160
,,4000,204.58,0.0581,0.6387,6548.8040,1.07,0.3714,0.02597
,,5000,204.58,0.0428,0.6388,6548.8040,0.91,0.2736,0.01913
,,6000,204.58,0.0313,0.6388,6548.8040,0.87,0.2002,0.01400
,,7000,204.33,0.0299,0.6389,6548.8040,0.89,0.1908,0.01335
,,8000,204.54,0.0257,0.6389,6548.8040,0.90,0.1643,0.01149
,,9000,204.58,0.0219,0.6389,6548.8040,0.89,0.1401,0.00979
,,10000,204.37,0.0213,0.6389,6548.8040,0.88,0.1360,0.00951
,,11000,204.37,0.0211,0.6389,6548.8040,0.87,0.1347,0.00942
,,12000,204.17,0.0206,0.6389,6548.8040,0.91,0.1314,0.00920
,,13000,202.76,0.0210,0.6389,6548.8040,1.01,0.1342,0.00943
,,14000,203.75,0.0204,0.6388,6548.8040,0.91,0.1302,0.00912
,,15000,203.75,0.0211,0.6388,6548.8040,0.90,0.1350,0.00946
,,16000,200.72,0.0203,0.6388,6548.8040,0.97,0.1297,0.00915
