# DateTime,20170607_085354
# Description,Variation of ringdown statistics with threshold
# InstrumentName,SADS2020_HF_PK
# SchemeFile,C:\Picarro\G2000\AppConfig\Schemes\HCL_peak.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,49551.9023438
# TUNER_SWEEP_RAMP_LOW_REGISTER,15994.0976562
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,47451.9023438
# TUNER_WINDOW_RAMP_LOW_REGISTER,18094.0976562
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,343.53,766.0238,0.2811,5739.1888,3.47,2153.5667,116.19277
,,3000,204.54,0.3502,0.7729,5739.1892,1.14,2.7064,0.18924
,,4000,204.58,0.1441,0.7732,5739.1892,1.16,1.1139,0.07788
,,5000,204.58,0.1100,0.7735,5739.1892,1.21,0.8505,0.05946
,,6000,204.54,0.0921,0.7737,5739.1892,1.17,0.7124,0.04982
,,7000,204.58,0.0768,0.7740,5739.1892,1.25,0.5947,0.04158
,,8000,204.33,0.0699,0.7743,5739.1892,1.27,0.5410,0.03785
,,9000,203.75,0.0629,0.7745,5739.1892,1.25,0.4872,0.03413
,,10000,203.54,0.0518,0.7747,5739.1892,1.31,0.4016,0.02815
,,11000,201.94,0.0435,0.7749,5739.1892,1.28,0.3368,0.02370
,,12000,196.89,0.0395,0.7749,5739.1892,1.43,0.3065,0.02184
,,13000,193.50,0.0388,0.7750,5739.1892,1.40,0.3008,0.02162
,,14000,183.96,0.0386,0.7749,5739.1892,1.50,0.2990,0.02204
,,15000,177.56,0.0381,0.7750,5739.1892,1.53,0.2955,0.02218
,,16000,160.08,0.0380,0.7749,5739.1892,1.68,0.2945,0.02328
