# DateTime,20170607_085211
# Description,Variation of ringdown statistics with threshold
# InstrumentName,SADS2020_HF_BL
# SchemeFile,C:\Picarro\G2000\AppConfig\Schemes\HCL_baseline.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,49551.9023438
# TUNER_SWEEP_RAMP_LOW_REGISTER,15994.0976562
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,47451.9023438
# TUNER_WINDOW_RAMP_LOW_REGISTER,18094.0976562
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,351.00,902.7193,0.0918,5736.2452,63733.03,829.0932,44.25369
,,3000,74.91,0.2568,0.7942,5739.2627,1.86,2.0395,0.23564
,,4000,204.58,0.1404,0.7794,5739.2626,1.25,1.0946,0.07653
,,5000,204.58,0.1102,0.7794,5739.2626,1.26,0.8589,0.06005
,,6000,204.58,0.0888,0.7795,5739.2626,1.26,0.6924,0.04841
,,7000,204.54,0.0768,0.7797,5739.2626,1.31,0.5990,0.04188
,,8000,204.37,0.0709,0.7800,5739.2626,1.35,0.5529,0.03867
,,9000,203.96,0.0589,0.7803,5739.2626,1.35,0.4595,0.03217
,,10000,200.76,0.0509,0.7805,5739.2626,1.40,0.3976,0.02806
,,11000,199.40,0.0430,0.7808,5739.2626,1.42,0.3358,0.02378
,,12000,195.20,0.0385,0.7810,5739.2626,1.44,0.3007,0.02153
,,13000,189.43,0.0396,0.7811,5739.2626,1.48,0.3096,0.02249
,,14000,183.28,0.0397,0.7813,5739.2626,1.59,0.3099,0.02289
,,15000,173.67,0.0374,0.7814,5739.2626,1.68,0.2923,0.02218
,,16000,165.34,0.0386,0.7816,5739.2626,1.75,0.3020,0.02348
