# DateTime,20170420_195140
# Description,Variation of ringdown statistics with threshold
# InstrumentName,AMADS2015_NH3_PK
# SchemeFile,C:\Picarro\G2000\InstrConfig\Schemes\NH3_PK.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,47809.1757812
# TUNER_SWEEP_RAMP_LOW_REGISTER,17726.8261719
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,45709.1757812
# TUNER_WINDOW_RAMP_LOW_REGISTER,19826.8261719
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,198.81,0.3729,0.6396,6548.8040,2.27,2.3849,0.16914
,,3000,204.50,0.1252,0.6389,6548.8039,2.30,0.7996,0.05592
,,4000,204.58,0.0594,0.6387,6548.8040,1.01,0.3796,0.02654
,,5000,204.54,0.0395,0.6388,6548.8040,0.88,0.2522,0.01763
,,6000,204.54,0.0341,0.6388,6548.8040,0.88,0.2175,0.01521
,,7000,204.58,0.0326,0.6389,6548.8040,0.87,0.2085,0.01458
,,8000,204.54,0.0298,0.6389,6548.8040,0.85,0.1901,0.01329
,,9000,204.37,0.0255,0.6389,6548.8040,0.90,0.1627,0.01138
,,10000,204.17,0.0228,0.6389,6548.8040,0.93,0.1454,0.01018
,,11000,204.62,0.0210,0.6390,6548.8040,0.88,0.1339,0.00936
,,12000,204.16,0.0197,0.6390,6548.8040,0.91,0.1256,0.00879
,,13000,199.92,0.0194,0.6390,6548.8040,0.99,0.1238,0.00876
,,14000,201.49,0.0187,0.6389,6548.8040,0.93,0.1193,0.00840
,,15000,202.76,0.0191,0.6389,6548.8040,0.95,0.1220,0.00857
,,16000,200.76,0.0181,0.6389,6548.8040,1.04,0.1159,0.00818
