   EpochTime,InletValve,OutletValve,  Pressure,Stage
1443551069.2,      2497,         0,    211.69,    1
1443551071.2,      5253,         0,    211.64,    1
1443551073.2,      7752,         0,    211.64,    1
1443551075.3,     10257,         0,    211.61,    1
1443551077.3,     12505,         0,    211.63,    1
1443551079.3,     15254,         0,    211.63,    1
1443551081.3,     17754,         0,    211.63,    1
1443551083.3,     20257,         0,    211.61,    1
1443551085.3,     22505,         0,    211.63,    1
1443551087.3,     25008,         0,    211.60,    1
1443551089.3,     27037,         0,    215.37,    1
1443551091.3,     26760,         0,    239.58,    1
1443551093.3,     26808,         0,    259.20,    1
1443551095.3,     26831,         0,    279.02,    1
1443551097.3,     26989,         0,    297.75,    1
1443551099.4,     26812,         0,    319.17,    1
1443551101.4,     26800,         0,    339.27,    1
1443551103.4,     26700,         0,    360.06,    1
1443551105.4,     26991,         0,    377.74,    1
1443551107.4,     26695,         0,    400.10,    1
1443551109.4,     26658,         0,    420.40,    1
1443551111.4,     26661,         0,    440.37,    1
1443551113.4,     26723,         0,    459.88,    1
1443551115.4,     26839,         0,    480.95,    1
1443551117.4,     26518,         0,    501.52,    1
1443551119.4,     26713,         0,    519.96,    1
1443551121.5,     26644,         0,    542.51,    1
1443551123.5,     26859,         0,    560.79,    1
1443551125.5,     26692,         0,    582.13,    1
1443551127.5,     26682,         0,    602.20,    1
1443551129.5,     26791,         0,    621.33,    1
1443551131.5,     26538,         0,    643.36,    1
1443551133.5,     26874,         0,    658.67,    1
1443551135.5,     26799,         0,    681.27,    1
1443551137.5,     27067,         0,    699.13,    1
1443551139.5,     27348,         0,    716.88,    1
1443551141.5,     27659,         0,    734.39,    1
1443551143.6,     28227,         0,    749.84,    1
1443551145.6,     29502,         0,    759.65,    1
1443551147.6,     31678,         0,    762.24,    1
1443551149.6,     34170,         0,    762.30,    1
1443551151.6,     36668,         0,    762.32,    1
1443551153.6,     39170,         0,    762.31,    1
1443551155.6,     41669,         0,    762.31,    1
1443551157.6,     44418,         0,    762.32,    1
1443551159.6,     46667,         0,    762.32,    1
1443551161.7,     49414,         0,    762.35,    1
1443551163.7,     51912,         0,    762.37,    1
1443551165.7,     54164,         0,    762.35,    1
1443551167.7,     56915,         0,    762.34,    1
1443551169.7,     59414,         0,    762.35,    1
1443551171.7,     61914,         0,    762.35,    1
1443551173.7,     64414,         0,    762.35,    1
1443551176.8,         0,         0,    762.36,    2
1443551177.8,         0,         0,    762.30,    2
1443551178.8,         0,         0,    762.27,    2
1443551179.8,         0,         0,    762.22,    2
