y_parameter,  pressure,   date_time,     slope, intercept,                         comment
          ,          ,            ,          ,          ,         scale(orig)=6.93792e-05
          ,          ,            ,          ,          ,         offset(orig)=   7.01238
          ,          ,            ,          ,          ,                  P(atm)=767.315
          ,          ,            ,          ,          ,             P(cav_open)=777.905
    0.9216,  190.7194,1492713422.3,  196.9234,    9.5701,                                
    0.9166,  190.5029,1492713423.6,  197.6132,    8.8996,                                
    0.9236,  190.2732,1492713425.0,  199.0191,    7.5322,                                
    0.9204,  190.0479,1492713426.3,  199.0745,    7.4784,                                
    0.9184,  189.8022,1492713427.8,  199.1941,    7.3624,                                
    0.9137,  189.5742,1492713429.1,  199.1941,    7.3624,                                
    0.9117,  189.3400,1492713430.5,  198.6148,    7.9229,                                
    0.9181,  189.1039,1492713431.9,  198.6148,    7.9229,                                
    0.9136,  188.8712,1492713433.3,  199.0398,    7.5109,                                
    0.9119,  188.6400,1492713434.7,  199.0398,    7.5109,                                
    0.9063,  188.3986,1492713436.1,  198.5547,    7.9611,                                
    0.9069,  188.1725,1492713437.4,  198.5547,    7.9611,                                
    0.9064,  187.9493,1492713438.8,  199.9303,    6.6287,                                
    0.9111,  187.7236,1492713440.1,  200.7252,    5.8598,                                
    0.9001,  187.4959,1492713441.5,  198.6393,    7.8739,                                
    0.9071,  187.2608,1492713442.9,  198.4001,    8.1048,                                
    0.9010,  186.9907,1492713444.4,  197.9647,    8.5248,                                
    0.8984,  186.7401,1492713445.9,  198.7381,    7.7668,                                
    0.9001,  186.4829,1492713447.4,  199.2298,    7.2926,                                
    0.8992,  186.2483,1492713448.8,  199.5848,    6.9504,                                
    0.8970,  186.0056,1492713450.2,  199.5848,    6.9504,                                
    0.9024,  185.7788,1492713451.5,  199.5848,    6.9504,                                
    0.8938,  185.5568,1492713452.8,  198.7544,    7.7494,                                
    0.8962,  185.3331,1492713454.2,  198.7026,    7.7992,                                
    0.8924,  185.0967,1492713455.5,  199.6405,    6.8952,                                
    0.8908,  184.8573,1492713456.9,  199.6405,    6.8952,                                
    0.8919,  184.6218,1492713458.3,  200.2978,    6.2627,                                
    0.8853,  184.3904,1492713459.7,  198.2130,    8.2351,                                
    0.8820,  184.1480,1492713461.1,  197.3745,    9.0257,                                
    0.8966,  183.9218,1492713462.4,  197.3745,    9.0257,                                
    0.8876,  183.6931,1492713463.7,  197.5434,    8.8638,                                
    0.8889,  183.4469,1492713465.2,  197.7541,    8.6619,                                
    0.8902,  183.1813,1492713466.8,  197.7974,    8.6204,                                
    0.8844,  182.9417,1492713468.2,  198.7482,    7.7079,                                
    0.8834,  182.6966,1492713469.6,  198.7482,    7.7079,                                
    0.8830,  182.4470,1492713471.0,  199.1296,    7.3428,                                
    0.8789,  182.2038,1492713472.5,  198.8095,    7.6451,                                
    0.8785,  181.9778,1492713473.8,  198.8095,    7.6451,                                
    0.8738,  181.7465,1492713475.2,  199.2230,    7.2584,                                
    0.8756,  181.5192,1492713476.5,  199.2230,    7.2584,                                
    0.8751,  181.2777,1492713477.9,  199.2230,    7.2584,                                
    0.8803,  181.0455,1492713479.2,  199.2230,    7.2584,                                
    0.8707,  180.8197,1492713480.6,  199.8174,    6.6872,                                
    0.8680,  180.5912,1492713481.9,  200.4606,    6.0877,                                
    0.8697,  180.3490,1492713483.3,  201.0109,    5.5633,                                
    0.8693,  180.1313,1492713484.6,  201.8409,    4.7721,                                
    0.8639,  179.9007,1492713486.0,  201.1436,    5.4346,                                
    0.8628,  179.6759,1492713487.3,  200.7811,    5.7664,                                
    0.8653,  179.4157,1492713488.8,  201.0622,    5.4993,                                
    0.8668,  179.1569,1492713490.3,  200.7029,    5.8146,                                
    0.8629,  178.9146,1492713491.7,  200.7149,    5.8032,                                
    0.8650,  178.6810,1492713493.1,  200.8144,    5.7089,                                
    0.8620,  178.4435,1492713494.4,  200.8144,    5.7089,                                
    0.8572,  178.2097,1492713495.8,  200.6574,    5.8642,                                
    0.8554,  177.9805,1492713497.1,  201.7834,    4.8362,                                
    0.8646,  177.7585,1492713498.4,  202.5572,    4.1039,                                
    0.8551,  177.5231,1492713499.8,  202.5572,    4.1039,                                
    0.8542,  177.2778,1492713501.2,  202.3368,    4.3117,                                
    0.8532,  177.0496,1492713502.5,  202.7669,    3.9212,                                
    0.8545,  176.8107,1492713503.9,  202.7153,    3.9699,                                
    0.8548,  176.5443,1492713505.4,  202.7456,    3.9413,                                
    0.8467,  176.3030,1492713506.8,  201.6640,    4.9506,                                
    0.8516,  176.0564,1492713508.2,  201.6640,    4.9506,                                
    0.8439,  175.7943,1492713509.7,  201.2619,    5.3280,                                
    0.8471,  175.5300,1492713511.2,  201.5846,    5.0246,                                
    0.8466,  175.3034,1492713512.6,  201.6203,    4.9911,                                
    0.8481,  175.0666,1492713513.9,  201.9756,    4.6574,                                
    0.8425,  174.8386,1492713515.2,  202.1360,    4.5068,                                
    0.8489,  174.5932,1492713516.6,  202.1360,    4.5068,                                
