 23 7802.816313 1.027E-30 1.107e-06.06850.085  490.19340.76-.009538       3 3 3 14       0 0 0 01                    P 36e     3377642332 5 4 5 7    71.0   73.0
 23 7802.920890 1.347E-30 2.831e-06.06800.079  664.55410.76-.009496       2 1 1 22       0 0 0 01                    Q 42e     3677642332 5 4 5 7    85.0   85.0
 23 7802.993404 2.033E-30 8.661e-07.08090.108   48.59830.70-.007274       2 1 1 22       0 0 0 01                    P 11e     3677742332 5 4 5 7    21.0   23.0
 22 7803.242450 1.300E-29 1.743e-05.07520.102  754.88660.69-.007795       4 1 1 11       0 1 1 01                    R 16f     4377642230 5 4 5 7    70.0   66.0
 21 7803.271604 1.420E-29 8.021e-05.06780.076 2181.26900.75-.009030       4 2 2 12       0 2 2 01                    R 46e     3577642030 5 4 5 7    95.0   93.0
 23 7803.318369 1.526E-30 2.827e-06.06810.080  633.66180.76-.009472       2 1 1 22       0 0 0 01                    Q 41e     3677642332 5 4 5 7    83.0   83.0
 21 7803.318544 1.432E-29 6.937e-05.06800.077 2145.29030.75-.008997       4 2 2 12       0 2 2 01                    R 45f     3577642030 5 4 5 7    93.0   91.0
 21 7803.375697 3.176E-30 9.772e-07.06780.076 1586.85820.74-.009688       3 0 0 23       0 1 1 01                    Q 48f     3677642029 5 4 5 7    97.0   97.0
 21 7803.484751 5.893E-30 9.230e-05.07010.094 2278.62670.74-.008616       4 3 3 12       0 3 3 01                    R 26f     3677642029 5 4 5 7    55.0   53.0
 22 7803.619994 5.930E-30 8.325e-06.07300.100  796.89080.71-.008693       3 0 0 22       0 1 1 01                    R 19e     3377642230 5 4 5 7    82.0   78.0
 22 7803.627984 5.240E-30 7.007e-06.07620.103  742.21700.69-.008152       3 0 0 22       0 1 1 01                    R 15e     3377642230 5 4 5 7    66.0   62.0
 23 7803.700640 2.057E-30 2.006e-06.06850.086  463.70740.76-.008799       4 0 0 11       0 0 0 01                    P 35e     3377642332 5 4 5 7    69.0   71.0
 23 7803.706234 1.721E-30 2.821e-06.06810.081  603.50330.76-.009462       2 1 1 22       0 0 0 01                    Q 40e     3677642332 5 4 5 7    81.0   81.0
 21 7803.726443 2.911E-30 1.480e-07.06670.071 1244.22050.72-.008707       5 1 1 01       0 0 0 01                    P 56e     3377742030 5 4 5 7   111.0  113.0
 23 7803.825420 2.029E-30 9.188e-07.08200.109   40.49890.71-.007071       2 1 1 22       0 0 0 01                    P 10e     3677742332 5 4 5 7    19.0   21.0
 21 7803.852680 9.867E-30 1.876e-07.07390.101  815.80320.70-.008678       3 0 0 23       0 1 1 01                    P 19e     3677642029 5 4 5 7    37.0   39.0
 23 7804.084468 1.933E-30 2.816e-06.06820.082  574.07900.76-.009452       2 1 1 22       0 0 0 01                    Q 39e     3677642332 5 4 5 7    79.0   79.0
 21 7804.121614 5.496E-30 9.208e-05.06980.093 2299.80420.74-.008664       4 3 3 12       0 3 3 01                    R 27e     3677642029 5 4 5 7    57.0   55.0
 21 7804.198877 1.038E-29 8.076e-05.06760.075 2255.56670.74-.009085       4 2 2 12       0 2 2 01                    R 48e     3577642030 5 4 5 7    99.0   97.0
 21 7804.284851 1.077E-29 7.126e-05.06770.076 2218.02930.74-.009055       4 2 2 12       0 2 2 01                    R 47f     3577642030 5 4 5 7    97.0   95.0
 21 7804.391405 1.001E-30 4.586e-07.07120.097 1519.64110.73-.009045       3 1 1 23       1 0 0 02                    P 24e     3677642029 5 4 5 7    47.0   49.0
 22 7804.571760 4.860E-30 7.265e-06.07190.098  828.91150.72-.008863       3 0 0 22       0 1 1 01                    R 21e     3377642230 5 4 5 7    90.0   86.0
 23 7804.583071 2.275E-30 2.017e-06.06860.087  437.95560.76-.008775       4 0 0 11       0 0 0 01                    P 34e     3377642332 5 4 5 7    67.0   69.0
 22 7804.622425 1.510E-29 2.076e-05.07360.100  782.26780.70-.008045       4 1 1 11       0 1 1 01                    R 18f     4677642231 5 4 5 7    78.0   74.0
 23 7804.650567 1.976E-30 9.651e-07.08310.110   33.13570.72-.006874       2 1 1 22       0 0 0 01                    P  9e     3677742332 5 4 5 7    17.0   19.0
 23 7804.811957 2.403E-30 2.801e-06.06840.084  517.43280.76-.009420       2 1 1 22       0 0 0 01                    Q 37e     3677642332 5 4 5 7    75.0   75.0
 21 7804.815026 4.456E-30 9.973e-07.06800.077 1512.63650.75-.009643       3 0 0 23       0 1 1 01                    Q 46f     3677642029 5 4 5 7    93.0   93.0
 21 7804.830954 5.047E-30 9.091e-05.06960.092 2321.76490.75-.008700       4 3 3 12       0 3 3 01                    R 28f     3677642029 5 4 5 7    59.0   57.0
 22 7804.909146 6.170E-30 8.343e-06.07450.101  767.99240.70-.008479       3 0 0 22       0 1 1 01                    R 17e     3377642230 5 4 5 7    74.0   70.0
 21 7805.101481 7.444E-30 8.112e-05.06740.074 2332.98220.73-.009136       4 2 2 12       0 2 2 01                    R 50e     3577742030 5 4 5 7   103.0  101.0
 23 7805.161161 2.662E-30 2.793e-06.06850.085  490.21120.76-.009411       2 1 1 22       0 0 0 01                    Q 36e     3677642332 5 4 5 7    73.0   73.0
 21 7805.236119 7.910E-30 7.269e-05.06750.074 2293.88670.74-.009110       4 2 2 12       0 2 2 01                    R 49f     3577742030 5 4 5 7   101.0   99.0
 21 7805.262996 4.002E-30 1.387e-07.06700.072 1157.77400.72-.008618       5 1 1 01       0 0 0 01                    P 54e     3377742030 5 4 5 7   107.0  109.0
 21 7805.442596 4.666E-30 9.081e-05.06940.091 2344.50930.75-.008724       4 3 3 12       0 3 3 01                    R 29e     3677642029 5 4 5 7    61.0   59.0
 22 7805.457177 3.890E-30 6.337e-06.07100.096  864.05410.73-.009000       3 0 0 22       0 1 1 01                    R 23e     3377642230 5 4 5 7    98.0   94.0
 23 7805.461184 2.507E-30 2.029e-06.06880.088  412.93850.76-.008747       4 0 0 11       0 0 0 01                    P 33e     3377642332 5 4 5 7    65.0   67.0
 23 7805.467627 1.874E-30 1.005e-06.08420.112   26.50870.73-.006702       2 1 1 22       0 0 0 01                    P  8e     3677742332 5 4 5 7    15.0   17.0
 23 7805.500630 2.838E-30 2.692e-06.06860.086  463.72410.76-.009395       2 1 1 22       0 0 0 01                    Q 35e     3677642332 5 4 5 7    71.0   71.0
 23 7805.830323 3.122E-30 2.689e-06.06870.087  437.97150.76-.009373       2 1 1 22       0 0 0 01                    Q 34e     3677642332 5 4 5 7    69.0   69.0
 21 7805.892214 1.221E-29 2.263e-07.07550.102  786.90280.69-.008449       3 0 0 23       0 1 1 01                    P 17e     3677642029 5 4 5 7    33.0   35.0
 21 7805.978918 5.237E-30 8.127e-05.06720.073 2413.51370.73-.009205       4 2 2 12       0 2 2 01                    R 52e     3577742030 5 4 5 7   107.0  105.0
 22 7805.983033 1.440E-29 2.084e-05.07240.099  812.77680.71-.008223       4 1 1 11       0 1 1 01                    R 20f     4677642231 5 4 5 7    86.0   82.0
 23 7806.150195 3.419E-30 2.685e-06.06880.088  412.95360.76-.009350       2 1 1 22       0 0 0 01                    Q 33e     3677642332 5 4 5 7    67.0   67.0
 21 7806.164060 4.227E-30 8.932e-05.06930.090 2368.03690.75-.008754       4 3 3 12       0 3 3 01                    R 30f     3677642029 5 4 5 7    63.0   61.0
 22 7806.170946 6.820E-30 9.581e-06.07300.100  796.89080.71-.008141       4 1 1 11       0 1 1 01                    R 19e     4377642230 5 4 5 7    82.0   78.0
 21 7806.172287 5.686E-30 7.380e-05.06730.073 2372.86130.73-.009169       4 2 2 12       0 2 2 01                    R 51f     3577742030 5 4 5 7   105.0  103.0
 21 7806.191651 6.138E-30 1.016e-06.06820.078 1441.53060.75-.009587       3 0 0 23       0 1 1 01                    Q 44f     3677642029 5 4 5 7    89.0   89.0
 23 7806.275763 1.717E-30 1.032e-06.08520.113   20.61800.74-.006558       2 1 1 22       0 0 0 01                    P  7e     3677742332 5 4 5 7    13.0   15.0
 22 7806.276901 3.060E-30 5.552e-06.07030.095  902.31800.74-.009129       3 0 0 22       0 1 1 01                    R 25e     3377642230 5 4 5 7   106.0  102.0
 21 7806.319901 1.473E-30 6.175e-07.07210.098 1482.95200.72-.008899       3 1 1 23       1 0 0 02                    P 22e     3677642029 5 4 5 7    43.0   45.0
 23 7806.334982 2.732E-30 2.028e-06.06890.089  388.65610.76-.008719       4 0 0 11       0 0 0 01                    P 32e     3377642332 5 4 5 7    63.0   65.0
 23 7806.460187 3.712E-30 2.671e-06.06890.089  388.67050.76-.009326       2 1 1 22       0 0 0 01                    Q 32e     3677642332 5 4 5 7    65.0   65.0
 21 7806.743960 3.880E-30 8.945e-05.06920.089 2392.34740.76-.008772       4 3 3 12       0 3 3 01                    R 31e     3677642029 5 4 5 7    65.0   63.0
 23 7806.760230 4.012E-30 2.656e-06.06900.090  365.12220.76-.009302       2 1 1 22       0 0 0 01                    Q 31e     3677642332 5 4 5 7    63.0   63.0
 21 7806.809353 5.394E-30 1.296e-07.06720.073 1074.43050.73-.008539       5 1 1 01       0 0 0 01                    P 52e     3377742030 5 4 5 7   103.0  105.0
 21 7806.830788 3.617E-30 8.127e-05.06700.072 2497.15990.72-.009281       4 2 2 12       0 2 2 01                    R 54e     3577742030 5 4 5 7   111.0  109.0
 22 7807.031677 2.360E-30 4.869e-06.06970.093  943.70260.74-.009232       3 0 0 22       0 1 1 01                    R 27e     3377642230 5 4 5 7   114.0  110.0
 23 7807.050235 4.311E-30 2.639e-06.06910.090  342.30900.75-.009274       2 1 1 22       0 0 0 01                    Q 30e     3677642332 5 4 5 7    61.0   61.0
 23 7807.074394 1.539E-30 1.067e-06.08610.115   15.46350.75-.006422       2 1 1 22       0 0 0 01                    P  6e     3677742332 5 4 5 7    11.0   13.0
 21 7807.093506 4.003E-30 7.461e-05.06710.072 2454.95170.73-.009245       4 2 2 12       0 2 2 01                    R 53f     3577642030 5 4 5 7   109.0  107.0
