 71 7808.613930 1.865E-29 3.863E-05.04780.047 1743.15500.840.000000       a      1       X      1                Q 11R 10     d46664049221411 2 0    23.0   21.0
 71 7808.755583 1.165E-29 2.411E-05.04780.047 1743.01330.840.000000       a      1       X      1                Q 11P 12     d46664049221411 2 0    23.0   25.0
 71 7808.849565 5.313E-29 1.148E-04.05330.053 1600.13010.840.000000       a      1       X      1                Q  5Q  5     d46664049221411 2 0    11.0   11.0
 71 7809.230349 3.419E-29 1.025E-04.05550.056 1574.54010.840.000000       a      1       X      1                Q  3Q  3     d46664049221411 2 0     7.0    7.0
 73 7809.352946 1.928E-30 4.976E-05.03560.038  770.62980.80-.004684       a      0       X      0                P 23P 23     d56664449251411 2 3   270.0  282.0
 72 7809.465698 2.860E-29 2.394E-05.04690.046  284.87440.85-.004354       a      0       X      0                O 14P 13     d56664449221411 2 3    25.0   27.0
 71 7809.528108 2.158E-29 4.049E-05.04960.048 1683.45810.840.000000       a      1       X      1                Q  9R  8     d46664049221411 2 0    19.0   17.0
 71 7809.624602 1.220E-29 2.288E-05.04960.048 1683.36160.840.000000       a      1       X      1                Q  9P 10     d46664049221411 2 0    19.0   21.0
 71 7809.893965 1.473E-26 2.265E-05.04770.048  260.68240.84-.004295       a      0       X      0                O 13P 12     d5544444918 8 5 2 3    23.0   25.0
 72 7810.200431 1.005E-29 5.836E-05.03450.038  813.16110.80-.004800       a      0       X      0                P 24Q 23     d56664449221411 2 3    47.0   47.0
 71 7810.276109 2.314E-29 4.348E-05.05130.050 1635.11090.840.000000       a      1       X      1                Q  7R  6     d46664049221411 2 0    15.0   13.0
 71 7810.321117 1.120E-29 2.104E-05.05130.050 1635.06590.840.000000       a      1       X      1                Q  7P  8     d46664049221411 2 0    15.0   17.0
 71 7810.843576 8.445E-30 1.808E-05.05330.053 1598.13610.840.000000       a      1       X      1                Q  5P  6     d46664049221411 2 0    11.0   13.0
 71 7810.863988 2.292E-29 4.907E-05.05330.053 1598.11570.840.000000       a      1       X      1                Q  5R  4     d46664049221411 2 0    11.0    9.0
 73 7811.163266 2.191E-30 5.608E-05.03560.038  768.81950.80-.004685       a      0       X      0                P 23Q 22     d56664449251411 2 3   270.0  270.0
 71 7811.186732 4.242E-30 1.261E-05.05550.056 1572.58380.840.000000       a      1       X      1                Q  3P  4     d46664049221411 2 0     7.0    9.0
 71 7811.315981 2.133E-29 6.336E-05.05550.056 1572.45450.840.000000       a      1       X      1                Q  3R  2     d46664049221411 2 0     7.0    5.0
 72 7811.953944 1.160E-29 5.179E-05.03560.038  750.02890.80-.004684       a      0       X      0                P 23P 23     d56664449221411 2 3    45.0   47.0
 73 7812.779491 5.522E-30 2.262E-05.04780.047  253.69340.84-.004295       a      0       X      0                O 13P 12     d56664449251411 2 3   138.0  150.0
 73 7812.973216 2.502E-30 4.956E-05.03680.039  706.66640.80-.004649       a      0       X      0                P 22P 22     d56664449251411 2 3   258.0  270.0
 72 7813.768408 1.320E-29 5.844E-05.03560.038  748.21440.80-.004685       a      0       X      0                P 23Q 22     d56664449221411 2 3    45.0   45.0
 71 7813.843221 8.057E-27 4.948E-05.03960.042  664.25950.80-.004606       a      0       X      0                P 21P 21     d5544444918 8 5 2 3    41.0   43.0
 71 7814.558763 2.772E-29 3.971E-08.05260.051  128.49200.860.000000       a      0       X      0                N  9O  8     q54664049231411 5 0    13.0   17.0
 73 7814.792239 2.859E-30 5.616E-05.03680.039  704.84740.80-.004650       a      0       X      0                P 22Q 21     d56664449251411 2 3   258.0  258.0
 71 7815.044552 3.771E-29 1.480E-04.05680.058 1560.32210.840.000000       a      1       X      1                R  1R  1     d46664049221411 2 0     5.0    3.0
 72 7815.339941 3.112E-29 2.358E-05.04780.047  246.89230.84-.004295       a      0       X      0                O 13P 12     d56664449221411 2 3    23.0   25.0
 72 7815.477040 1.493E-29 5.159E-05.03680.039  687.77770.80-.004649       a      0       X      0                P 22P 22     d56664449221411 2 3    43.0   45.0
 71 7815.666855 9.245E-27 5.630E-05.03960.042  662.43590.80-.004607       a      0       X      0                P 21Q 20     d5544444918 8 5 2 3    41.0   41.0
 71 7816.000678 7.918E-30 4.814E-08.04250.041  662.10201.060.000000       a      0       X      0                P 21O 22     q54664049231411 5 0    41.0   45.0
 73 7816.556023 3.195E-30 4.935E-05.03800.040  645.46600.80-.004609       a      0       X      0                P 21P 21     d56664449251411 2 3   246.0  258.0
 71 7816.929668 9.723E-30 3.782E-05.05680.058 1558.43700.840.000000       a      1       X      1                R  1Q  2     d46664049221411 2 0     5.0    5.0
 72 7817.299949 1.708E-29 5.852E-05.03680.039  685.95480.80-.004650       a      0       X      0                P 22Q 21     d56664449221411 2 3    43.0   43.0
 73 7818.383811 3.672E-30 5.624E-05.03800.040  643.63820.80-.004610       a      0       X      0                P 21Q 20     d56664449251411 2 3   246.0  246.0
 73 7818.779856 5.891E-30 2.219E-05.04870.047  217.44470.84-.004239       a      0       X      0                O 12P 11     d56664449251411 2 3   126.0  138.0
 72 7818.963671 1.891E-29 5.135E-05.03800.040  628.21600.80-.004609       a      0       X      0                P 21P 21     d56664449221411 2 3    41.0   43.0
 73 7820.101385 4.012E-30 4.908E-05.03920.041  587.03090.81-.004567       a      0       X      0                P 20P 20     d56664449251411 2 3   234.0  246.0
 71 7820.434833 4.402E-29 1.030E-04.05430.054 1574.54010.840.000000       a      1       X      1                R  3R  3     d46664049221411 2 0     9.0    7.0
 72 7820.795081 2.176E-29 5.859E-05.03800.040  626.38460.80-.004610       a      0       X      0                P 21Q 20     d56664449221411 2 3    41.0   41.0
