# DateTime,20170419_191118
# Description,Variation of ringdown statistics with threshold
# InstrumentName,SADS2020_HF_PK
# SchemeFile,C:\Picarro\G2000\AppConfig\Schemes\HCL_peak.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,49545.4023438
# TUNER_SWEEP_RAMP_LOW_REGISTER,15987.5976562
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,47445.4023438
# TUNER_WINDOW_RAMP_LOW_REGISTER,18087.5976562
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,163.75,180.2624,0.2936,5739.1892,2.84,529.3370,41.36626
,,3000,204.58,0.2455,0.7748,5739.1892,1.23,1.9019,0.13297
,,4000,204.58,0.1681,0.7750,5739.1892,1.29,1.3030,0.09110
,,5000,204.37,0.1354,0.7755,5739.1892,1.27,1.0503,0.07347
,,6000,204.16,0.1080,0.7757,5739.1892,1.27,0.8377,0.05863
,,7000,200.92,0.0825,0.7760,5739.1892,1.35,0.6401,0.04516
,,8000,194.86,0.0706,0.7762,5739.1892,1.47,0.5482,0.03927
,,9000,186.15,0.0575,0.7764,5739.1892,1.51,0.4463,0.03271
,,10000,172.50,0.0442,0.7766,5739.1892,1.58,0.3432,0.02613
,,11000,158.68,0.0407,0.7767,5739.1892,1.67,0.3160,0.02508
,,12000,134.03,0.0329,0.7769,5739.1892,1.78,0.2552,0.02205
,,13000,113.69,0.0304,0.7769,5739.1893,1.89,0.2365,0.02218
,,14000,105.39,0.0303,0.7769,5739.1893,1.83,0.2355,0.02294
,,15000,84.80,0.0276,0.7769,5739.1893,1.84,0.2141,0.02325
,,16000,70.82,0.0284,0.7769,5739.1893,1.82,0.2204,0.02619
