# DateTime,20170420_190437
# Description,Variation of ringdown statistics with threshold
# InstrumentName,AMADS2015_NH3_PK
# SchemeFile,C:\Picarro\G2000\InstrConfig\Schemes\NH3_PK.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,47809.1757812
# TUNER_SWEEP_RAMP_LOW_REGISTER,17726.8261719
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,45709.1757812
# TUNER_WINDOW_RAMP_LOW_REGISTER,19826.8261719
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,197.01,3.4721,0.6397,6548.8039,2.33,22.2108,1.58243
,,3000,204.58,0.1233,0.6389,6548.8039,2.32,0.7878,0.05508
,,4000,204.54,0.0634,0.6387,6548.8040,0.98,0.4052,0.02833
,,5000,204.58,0.0429,0.6387,6548.8040,0.88,0.2741,0.01916
,,6000,204.58,0.0359,0.6387,6548.8040,0.88,0.2292,0.01602
,,7000,204.54,0.0320,0.6388,6548.8040,0.90,0.2041,0.01427
,,8000,204.33,0.0282,0.6388,6548.8040,0.89,0.1803,0.01261
,,9000,204.37,0.0241,0.6388,6548.8040,0.90,0.1539,0.01077
,,10000,204.58,0.0227,0.6389,6548.8040,0.88,0.1452,0.01015
,,11000,204.16,0.0212,0.6389,6548.8040,0.94,0.1354,0.00947
,,12000,203.33,0.0214,0.6389,6548.8040,0.93,0.1368,0.00960
,,13000,204.00,0.0212,0.6389,6548.8040,0.92,0.1354,0.00948
,,14000,202.55,0.0208,0.6388,6548.8040,1.00,0.1329,0.00934
,,15000,201.37,0.0200,0.6388,6548.8040,1.03,0.1281,0.00903
,,16000,201.78,0.0200,0.6388,6548.8040,0.99,0.1276,0.00899
