# DateTime,20170420_091914
# Description,Variation of ringdown statistics with threshold
# InstrumentName,SADS2020_HF_PK
# SchemeFile,C:\Picarro\G2000\AppConfig\Schemes\HCL_peak.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,49450.9023438
# TUNER_SWEEP_RAMP_LOW_REGISTER,15893.0976562
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,47350.9023438
# TUNER_WINDOW_RAMP_LOW_REGISTER,17993.0976562
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,175.84,736.9415,0.4131,5739.1892,3.01,3044.0981,229.56207
,,3000,204.58,0.2519,0.7735,5739.1892,1.23,1.9481,0.13620
,,4000,204.58,0.1490,0.7737,5739.1892,1.20,1.1530,0.08061
,,5000,204.37,0.1295,0.7741,5739.1892,1.26,1.0021,0.07010
,,6000,204.37,0.1024,0.7744,5739.1892,1.28,0.7933,0.05549
,,7000,203.13,0.0897,0.7746,5739.1892,1.31,0.6950,0.04877
,,8000,198.22,0.0683,0.7749,5739.1892,1.39,0.5294,0.03760
,,9000,192.98,0.0532,0.7751,5739.1892,1.39,0.4124,0.02968
,,10000,183.96,0.0502,0.7752,5739.1892,1.54,0.3892,0.02870
,,11000,169.89,0.0417,0.7754,5739.1892,1.63,0.3235,0.02482
,,12000,153.92,0.0316,0.7755,5739.1892,1.75,0.2452,0.01976
,,13000,138.03,0.0287,0.7756,5739.1892,1.79,0.2225,0.01894
,,14000,116.28,0.0277,0.7756,5739.1893,1.89,0.2149,0.01993
,,15000,101.15,0.0280,0.7756,5739.1893,1.77,0.2175,0.02163
,,16000,94.17,0.0281,0.7756,5739.1893,1.90,0.2177,0.02243
